rmse_train,rmse_test,mase_test,bias_test,theta,n
111.49456138884453,132.15157097631808,0.42626127495746646,-1.245191213964579,1.5,240
142.2179164451066,116.20406691221301,0.454379619917736,4.6284742643143035,1.5,240
132.18234407530767,116.10743931636688,0.35887823215584086,-11.60521583435635,1.5,240
124.56017426746315,108.93122994968729,0.3583002681729045,-5.693933373661946,1.5,240
138.17944435276044,127.96521663480331,0.2903958487714743,-8.736059046607414,1.5,240
122.79723161594745,120.25915754637042,0.34655539591063067,-1.6740451356762684,1.5,240
75.81397425277274,79.46678138850594,0.3276542358768895,-2.6428456353417045,1.5,240
129.8400779248633,134.43285293527612,0.38855064639764464,-5.023208473190834,1.5,240
122.70290765086243,124.8241090153535,0.28210242243247347,-18.095824955103858,1.5,240
143.38868523480704,108.4796159886489,0.29223006740923707,-18.025074696003436,1.5,240
142.1415985030532,125.19284919524931,0.4273221038975073,6.8932707068850165,1.5,240
101.8557730428342,125.04115610188823,0.3894813855829469,5.028077414968942,1.5,240
114.14468931958875,130.43251471773826,0.3544607042186519,-9.511971807494417,1.5,240
144.77901216486867,109.7491388569033,0.3287751907742657,1.8127763476633663,1.5,240
116.36840868708508,125.61638473068517,0.32292132475744295,-25.084872904957813,1.5,240
125.78116475761902,171.37942824994187,0.34170486428364666,13.273346477814064,1.5,240
147.36229653045982,99.11206631635403,0.48008424057456245,17.349423224600148,1.5,240
139.36905673568725,170.76082511404863,0.40166280521119124,0.8263398105858782,1.5,240
158.5671263468546,116.68360429573988,0.37996321182644094,1.894019742324637,1.5,240
123.84408953955825,115.6528857733155,0.3806707396290767,-2.9984613024437703,1.5,240
111.70129481266362,101.09320684518565,0.4583040281906829,20.595616612426326,1.5,240
116.69440134277224,149.88660139344765,0.35512671822326625,-12.574840514276287,1.5,240
124.16987020405593,144.11778477944847,0.36793039568645003,-6.1696049985409,1.5,240
121.03126855331652,142.99943812201036,0.2961027045673734,-6.014589977337727,1.5,240
116.88967945748767,154.92895642089195,0.5489429685364163,39.77706453372441,1.5,240
109.55929869808783,122.39135091224067,0.3300249376889381,0.6434380995659483,1.5,240
138.73206940279135,95.10420132773133,0.3369246877263403,0.04783887582407476,1.5,240
115.15307777087925,149.147401195398,0.3919984279142377,-27.63075306327947,1.5,240
109.39924744115906,103.38828918193974,0.3480677753634562,4.420620603522275,1.5,240
113.868565031298,129.37706707560804,0.30917732996734837,9.617279410164098,1.5,240
160.1315982392872,143.83115212849063,0.3531341713500035,7.564842390036107,1.5,240
137.51098885197047,132.9242975318836,0.42061484678038935,10.684355387051502,1.5,240
134.4894064829757,148.83868787074394,0.3957328202148058,3.5193165864972245,1.5,240
117.76392800395338,135.29920712000785,0.36766349319141545,21.950819498216667,1.5,240
123.94716083656088,171.30345983017511,0.44132724584026983,5.130678788139635,1.5,240
107.42753591549771,100.51208275473122,0.3050281671675087,-15.845603289297808,1.5,240
145.49978964023148,100.49932160165929,0.39074271176377273,5.833306242746191,1.5,240
