rmse_train,rmse_test,mase_test,bias_test,theta,n
383.8606314471439,375.48521386778117,0.7714540288830672,-inf,10,240
392.73665238299316,405.72288880466186,0.8247318529159675,-inf,10,240
394.7272660753667,422.84389357460674,0.822759845898956,-inf,10,240
383.1456016755684,405.3504142508471,0.7773470234991987,-inf,10,240
390.668037629136,401.27294846110254,0.7831874571097281,-inf,10,240
404.80219578002954,365.1660581160303,0.6515543135284002,-inf,10,240
396.2229617483907,335.25593457337436,0.5955233657103288,-inf,10,240
414.1737507777785,416.9121110418038,0.7997826625567481,-inf,10,240
381.14119349002414,390.77463134139094,0.7383987977508506,-inf,10,240
403.3579301212097,396.49611179262104,0.7533964300352334,-inf,10,240
363.1849993460633,413.2282712577476,0.784279075999781,-inf,10,240
385.20215877510344,411.49632946925135,0.7544070818483358,-inf,10,240
376.72020038086623,370.48096554793926,0.6947841601651679,-inf,10,240
403.50899669854533,390.61271314009565,0.7096270425100198,-inf,10,240
402.2320471962256,377.70593168936773,0.6875608436218705,-inf,10,240
389.80247401728997,375.9007792401252,0.7221046296723227,-inf,10,240
417.11388707601986,394.7888148533762,0.6900343950381403,-inf,10,240
376.04541087701983,407.6445551376019,0.8270780712294727,-inf,10,240
394.8600754275705,432.7226787061971,0.8574687261123313,-inf,10,240
379.1757370709963,374.2057143693381,0.75571200003188,-inf,10,240
404.07632581398946,431.7191650830433,0.8800752361796055,-inf,10,240
380.735219400132,361.0380866335296,0.6899478588073358,-inf,10,240
404.50575552147586,419.9437462327544,0.7618724478418384,-inf,10,240
396.539464460979,371.4838769493682,0.7218206179623246,-inf,10,240
396.3194668341017,394.6858983208462,0.7732637618558689,-inf,10,240
381.4748449002459,413.6977056579679,0.8229520640614185,-inf,10,240
380.3153023041101,394.8784095558193,0.7431448544428138,-inf,10,240
385.21066341462216,377.6712911602716,0.6665956556090432,-inf,10,240
400.10290343027174,410.59390420056974,0.7498337729571176,-inf,10,240
389.1889804452331,415.44524308264744,0.7632749262721967,-inf,10,240
385.780708704224,373.45715952435563,0.7172674995621461,-inf,10,240
411.9455301270626,403.0182481393781,0.7863698303071243,-inf,10,240
393.90567689697826,382.2872502015554,0.6871440572563224,-inf,10,240
386.20679369995554,414.6811274943677,0.7191095269269571,-inf,10,240
397.86080977941685,402.6453153831546,0.8050806957217421,-inf,10,240
398.4173181163188,352.657323048877,0.6423404352048535,-inf,10,240
370.7129954560536,393.6646732944169,0.7810498174850148,-inf,10,240
399.27895297857447,368.30688064891393,0.6464361281301172,-inf,10,240
407.7215655321656,452.98861740666285,0.8591091170287855,-inf,10,240
388.8539451066428,407.7559012448502,0.7412139030016351,-inf,10,240
385.1652648539325,378.91201155413376,0.7329430803397188,-inf,10,240
392.6014929819634,390.67857632585896,0.7033609236609025,-inf,10,240
381.6064590429954,391.33372373631863,0.7944546074975063,-inf,10,240
386.9593069152535,376.53970020880047,0.7430853659484954,-inf,10,240
412.2189446560327,387.4619604984899,0.7225265541426986,-inf,10,240
399.3008734025008,390.1170497427663,0.6861770109985699,-inf,10,240
384.969026080887,427.2731610652214,0.8097070955161122,-inf,10,240
399.2871512666876,378.44333019180914,0.7450480953339729,-inf,10,240
377.9143766009262,421.3816807044812,0.8945180180777769,-inf,10,240
392.07466338271166,362.62532316428207,0.7127228929909762,-inf,10,240
411.8362778965285,402.46117825201475,0.7281769017561335,-inf,10,240
405.84823723488887,382.18620025671606,0.7143305435271842,-inf,10,240
376.7156033844807,402.81504233746455,0.7754854507146518,-inf,10,240
403.0711139695658,398.68667208724196,0.6633639224224581,-inf,10,240
390.32381722317007,415.69667928270326,0.8389349208218049,-inf,10,240
378.6162098682517,402.55923477172894,0.7643355201835521,-inf,10,240
401.6453335448245,374.76134072233225,0.666438886517604,-inf,10,240
388.0386243124946,368.406789432551,0.7166536717161331,-inf,10,240
383.164938103249,395.61655467552583,0.7515244637261991,-inf,10,240
419.25233551327216,363.2170781135344,0.6430687352176074,-inf,10,240
386.3477694491497,409.44283789071216,0.8297857842321019,-inf,10,240
391.0062872469785,401.5234789731064,0.8397934046857828,-inf,10,240
368.10026798640973,475.2685425104422,0.893643685704529,-inf,10,240
388.18552936493313,435.75674119857285,0.8548098327383085,-inf,10,240
381.8368502493353,423.0250189606599,0.791383579307804,-inf,10,240
392.78998046029636,365.3481786825639,0.6750174341397549,-inf,10,240
387.90747393332515,433.14436584892417,0.8387815404660253,-inf,10,240
391.0474715427783,387.0607456631754,0.7218377071023057,-inf,10,240
401.49400680458484,404.19995567375645,0.8093869589503458,-inf,10,240
368.00965935013176,399.61066990259405,0.8121106429556173,-inf,10,240
393.4492965533594,394.05414179610733,0.6957941802225078,-inf,10,240
383.38087567500463,395.2702661892662,0.7189586511690867,-inf,10,240
388.4591221522972,442.37453494371334,0.8634811868278949,-inf,10,240
412.7316710547746,370.2306432032155,0.6220518592404881,-inf,10,240
377.766345057806,459.91278611638245,0.8387798357960282,-inf,10,240
389.4981346232611,353.5726292668406,0.6814663721601154,-inf,10,240
395.83975214093897,354.3001611157786,0.6421835652199599,-inf,10,240
371.73704023588147,410.8616961135868,0.7293327583474315,-inf,10,240
388.3925205253057,391.12948090540726,0.7720882126988082,-inf,10,240
384.5881861376746,461.7768896700368,0.9378895592069363,-inf,10,240
392.932570816334,414.8459553456761,0.8292657378256034,-inf,10,240
