latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,month,max_temp,min_temp,rainfall
4.2905,34.9423,319.5,1.3,1.1,2016-12-01,759,Terra,MODIS,25,6.2,294.5,11.7,D,0,2016,12,36.63009,20.03215,17.855803
1.1264,34.8557,314.5,1.2,1.1,2016-12-01,800,Terra,MODIS,59,6.2,292.2,6.7,D,0,2016,12,26.636818,12.538929,63.71664
-1.2194,36.7134,300.8,1.2,1.1,2016-12-01,2318,Aqua,MODIS,34,6.2,271.2,10.6,N,0,2016,12,25.461151,13.7389,174.89398
-1.4834,41.2644,318.5,1.0,1.0,2016-12-03,748,Terra,MODIS,55,6.2,299.5,10.9,D,0,2016,12,32.707344,24.882626,21.140894
-2.3679,40.325,319.6,1.0,1.0,2016-12-03,748,Terra,MODIS,41,6.2,299.6,9.8,D,0,2016,12,33.17397,25.029512,104.72081
0.9236,39.3699,319.2,3.9,1.8,2016-12-04,830,Terra,MODIS,34,6.2,294.6,62.7,D,0,2016,12,35.073437,23.357704,58.12171
0.5737,34.8841,308.8,1.7,1.3,2016-12-04,831,Terra,MODIS,36,6.2,287.1,11.7,D,0,2016,12,26.821442,13.553122,131.0823
-0.8886,34.4275,318.8,1.1,1.1,2016-12-04,1126,Aqua,MODIS,70,6.2,298.2,11.4,D,0,2016,12,28.167675,16.85516,228.9669
-0.89,34.4173,314.8,1.1,1.1,2016-12-04,1126,Aqua,MODIS,62,6.2,298.3,7.2,D,0,2016,12,28.167675,16.85516,228.9669
3.8215,34.2046,347.1,1.3,1.1,2016-12-04,1128,Aqua,MODIS,92,6.2,297.2,64.4,D,0,2016,12,,17.249062,22.944706
3.8314,34.2028,330.4,1.3,1.1,2016-12-04,1128,Aqua,MODIS,73,6.2,298.9,26.8,D,0,2016,12,,17.249062,22.944706
-1.3152,34.9372,304.1,1.4,1.2,2016-12-05,1957,Terra,MODIS,58,6.2,284.3,12.7,N,0,2016,12,25.7165,13.917052,280.95322
-1.3136,34.9485,302.4,1.4,1.2,2016-12-05,1957,Terra,MODIS,49,6.2,283.7,11.4,N,0,2016,12,25.7165,13.917052,280.95322
0.1328,35.2142,315.5,1.3,1.1,2016-12-05,1957,Terra,MODIS,91,6.2,275.7,23.8,N,0,2016,12,25.013622,12.426895,167.75339
0.0286,35.1621,331.0,1.2,1.1,2016-12-06,818,Terra,MODIS,85,6.2,300.0,28.7,D,0,2016,12,27.843071,15.084854,203.46638
0.0691,34.0673,323.8,1.0,1.0,2016-12-06,818,Terra,MODIS,20,6.2,308.3,12.4,D,0,2016,12,29.235052,17.758156,202.18721
1.5234,35.5049,344.1,1.2,1.1,2016-12-06,818,Terra,MODIS,91,6.2,306.4,45.6,D,0,2016,12,31.04129,17.609423,42.158684
1.5249,35.4946,386.9,1.2,1.1,2016-12-06,818,Terra,MODIS,100,6.2,311.7,209.0,D,0,2016,12,30.934097,17.479605,42.24342
0.008,35.1698,314.1,1.2,1.1,2016-12-06,818,Terra,MODIS,66,6.2,298.3,6.5,D,0,2016,12,28.47752,15.491812,198.5136
-1.3476,36.896,316.5,1.5,1.2,2016-12-06,819,Terra,MODIS,23,6.2,294.8,11.6,D,0,2016,12,26.58769,15.227326,135.10634
-1.3176,34.929,317.7,1.2,1.1,2016-12-06,819,Terra,MODIS,41,6.2,302.1,6.5,D,0,2016,12,25.7165,13.917052,280.95322
-0.9708,36.0558,309.1,1.3,1.1,2016-12-06,819,Terra,MODIS,44,6.2,292.3,7.3,D,0,2016,12,22.602062,9.390514,169.7336
-1.3192,34.9401,326.9,1.2,1.1,2016-12-06,819,Terra,MODIS,76,6.2,305.0,17.6,D,0,2016,12,25.7165,13.917052,280.95322
-1.0072,34.6746,312.3,1.0,1.0,2016-12-06,1114,Aqua,MODIS,36,6.2,292.9,5.7,D,0,2016,12,26.36827,15.162451,300.7801
1.1242,39.1836,344.6,1.5,1.2,2016-12-06,1114,Aqua,MODIS,90,6.2,303.6,60.6,D,0,2016,12,34.54053,23.079512,60.225933
0.9068,35.311,318.2,1.0,1.0,2016-12-06,1115,Aqua,MODIS,52,6.2,297.4,6.9,D,0,2016,12,25.752506,11.881069,81.93891
2.4212,35.1539,329.8,1.0,1.0,2016-12-06,1115,Aqua,MODIS,64,6.2,308.8,17.0,D,0,2016,12,27.47182,15.836718,37.889515
1.5225,35.4973,328.2,1.0,1.0,2016-12-06,1115,Aqua,MODIS,75,6.2,302.8,13.3,D,0,2016,12,30.934097,17.479605,42.24342
4.8719,35.1714,336.7,1.0,1.0,2016-12-06,1116,Aqua,MODIS,74,6.2,318.3,15.2,D,0,2016,12,35.31058,19.30127,37.51761
-0.1478,34.7627,301.4,3.4,1.7,2016-12-07,2241,Aqua,MODIS,39,6.2,286.8,29.2,N,0,2016,12,30.164566,18.26373,238.69202
3.0684,35.0367,327.1,1.1,1.0,2016-12-08,805,Terra,MODIS,50,6.2,306.0,16.9,D,0,2016,12,27.771309,15.863729,31.388145
0.589,34.6828,319.1,1.1,1.0,2016-12-08,806,Terra,MODIS,54,6.2,301.2,7.9,D,0,2016,12,28.41991,15.15381,150.23402
0.5022,35.02,316.3,1.0,1.0,2016-12-08,806,Terra,MODIS,25,6.2,301.5,6.8,D,0,2016,12,26.012089,12.707751,113.78365
1.5195,35.4918,348.2,1.0,1.0,2016-12-08,806,Terra,MODIS,92,6.2,311.6,42.3,D,0,2016,12,30.934097,17.479605,42.24342
1.5278,35.4991,352.1,1.0,1.0,2016-12-08,806,Terra,MODIS,95,6.2,311.5,53.1,D,0,2016,12,30.934097,17.479605,42.24342
0.5904,34.6734,316.9,1.1,1.0,2016-12-08,806,Terra,MODIS,35,6.2,301.2,5.6,D,0,2016,12,28.41991,15.15381,150.23402
0.5496,34.6963,320.4,1.1,1.0,2016-12-08,806,Terra,MODIS,62,6.2,304.1,9.5,D,0,2016,12,28.378813,15.218969,155.96309
1.5079,35.5086,326.3,1.0,1.0,2016-12-08,806,Terra,MODIS,57,6.2,310.3,9.3,D,0,2016,12,31.04129,17.609423,42.158684
1.5182,35.5008,352.6,1.0,1.0,2016-12-08,806,Terra,MODIS,95,6.2,311.1,52.4,D,0,2016,12,31.04129,17.609423,42.158684
-4.375,39.0445,320.9,1.0,1.0,2016-12-08,1101,Aqua,MODIS,13,6.2,300.6,11.1,D,0,2016,12,32.690624,23.166237,81.35565
1.5208,35.4881,328.7,1.2,1.1,2016-12-08,1102,Aqua,MODIS,46,6.2,304.6,18.8,D,0,2016,12,30.934097,17.479605,42.24342
4.7444,35.1735,329.9,1.1,1.1,2016-12-08,1103,Aqua,MODIS,58,6.2,313.5,11.0,D,0,2016,12,34.011677,18.654865,33.396904
-2.2801,40.5718,328.0,1.1,1.1,2016-12-10,754,Terra,MODIS,67,6.2,306.7,18.1,D,0,2016,12,33.20352,25.11829,85.658844
-2.5039,40.4245,322.9,1.0,1.0,2016-12-12,742,Terra,MODIS,65,6.2,299.6,12.5,D,0,2016,12,32.880936,24.852766,106.8062
