rmse_train,rmse_test,mase_test,bias_test,theta,n,time_period,years,theta_param,model_type,n_months
125.83768916049172,91.59919750778096,0.339632052581142,-7.198606078447589,1.5,60,five_year,5,1.5,BNB,60
97.36368943415404,61.824159869662616,0.3333249492141557,-4.92763131990365,1.5,60,five_year,5,1.5,BNB,60
133.34127376740233,205.82687824738284,0.6202462303778568,16.239919281291524,1.5,60,five_year,5,1.5,BNB,60
147.2674518826261,86.15140884872697,0.1899125121143766,-27.16982572789932,1.5,60,five_year,5,1.5,BNB,60
127.65258949889014,92.6660982859781,0.6414569371803125,22.685829976296723,1.5,60,five_year,5,1.5,BNB,60
109.9362566787472,134.64854866476102,0.4742658603257341,-30.64029898937992,1.5,60,five_year,5,1.5,BNB,60
106.30741639070318,134.4202094559398,0.2369275662989793,-38.67572305566674,1.5,60,five_year,5,1.5,BNB,60
178.01488001015747,114.48915773171714,0.2837329726176767,28.092209947409557,1.5,60,five_year,5,1.5,BNB,60
102.80639137737626,71.6042903394669,0.3324272483034524,16.50263173483622,1.5,60,five_year,5,1.5,BNB,60
102.94670410907004,130.35077430161516,0.4218043133216861,-16.198811491479905,1.5,60,five_year,5,1.5,BNB,60
136.94352594364278,80.60719555680276,0.2558222472181492,-6.789338701733915,1.5,60,five_year,5,1.5,BNB,60
108.751783518564,131.91405379653153,0.307587861405028,-0.8657954282520632,1.5,60,five_year,5,1.5,BNB,60
112.62495638578216,122.1228082225208,0.2685142157101827,-5.966751494271938,1.5,60,five_year,5,1.5,BNB,60
131.2285133861974,99.4599600226593,0.273440661792903,18.61990226481294,1.5,60,five_year,5,1.5,BNB,60
115.2796051078598,142.7229073856249,0.3688471002345485,-52.32659986313558,1.5,60,five_year,5,1.5,BNB,60
124.9651566693002,116.76379022522738,0.303922760969022,21.16107039954815,1.5,60,five_year,5,1.5,BNB,60
134.42362725759813,159.24621440135854,0.6215660865002934,58.933315855042345,1.5,60,five_year,5,1.5,BNB,60
114.41139463522084,140.33837545853007,0.3248611159156425,-12.928684319163263,1.5,60,five_year,5,1.5,BNB,60
106.7972305688,101.36518203896084,0.2836494359055446,19.925831367125163,1.5,60,five_year,5,1.5,BNB,60
112.43381076357238,89.84377698230499,0.3593227098376001,12.750632778217554,1.5,60,five_year,5,1.5,BNB,60
98.2603593406939,139.11655528262438,0.4523505315266742,-12.686733244438198,1.5,60,five_year,5,1.5,BNB,60
110.87491984888206,103.708121871714,0.3050252086453877,20.026554649766048,1.5,60,five_year,5,1.5,BNB,60
146.77000992162343,152.3448662499631,0.4707432277552595,17.792560901127185,1.5,60,five_year,5,1.5,BNB,60
148.3503346239992,144.7019309543821,0.3928036168364563,6.105474585592591,1.5,60,five_year,5,1.5,BNB,60
116.4191362770774,111.75267133761052,0.2992005367580443,-3.2153412533303847,1.5,60,five_year,5,1.5,BNB,60
109.4863754247524,116.38174395328448,0.3562141461011174,0.2909339320831067,1.5,60,five_year,5,1.5,BNB,60
91.89856246902866,122.65886359345066,0.3753262552349468,15.523489109403496,1.5,60,five_year,5,1.5,BNB,60
122.3389538405232,144.28271331900405,0.2631211205479853,-20.20173784735117,1.5,60,five_year,5,1.5,BNB,60
121.09140513431387,89.1696787959489,0.2758355876572807,-26.451732156496305,1.5,60,five_year,5,1.5,BNB,60
91.09505834218274,82.73079210727307,0.5424644983280086,10.413117323882062,1.5,60,five_year,5,1.5,BNB,60
130.45697396988967,212.1862199386679,0.3479090918190785,14.363405771494124,1.5,60,five_year,5,1.5,BNB,60
91.19762962326033,120.017012461446,0.4161728327328767,-9.88302036247677,1.5,60,five_year,5,1.5,BNB,60
157.48102640232705,172.0882817441431,0.3431808351662346,-22.930960637129544,1.5,60,five_year,5,1.5,BNB,60
100.46153755083276,98.03113944740429,0.2471716064298766,-17.48991689003047,1.5,60,five_year,5,1.5,BNB,60
132.19862874855843,57.34368178052993,0.1770644339272916,-3.563789028420716,1.5,60,five_year,5,1.5,BNB,60
155.21800700335265,178.57035313661456,0.4319898684764184,16.604429308345942,1.5,60,five_year,5,1.5,BNB,60
121.06576223108674,86.81920026651163,0.2639603280372179,4.595095232347628,1.5,60,five_year,5,1.5,BNB,60
