date,tmin_mean,tmin_std,tmin_min,tmin_max,tmin_count
2000-11,19.890917179950172,3.9769664446999125,0.6166982,24.905941,27696
2000-12,18.972922737544323,4.101599028906632,0.0448789,24.663225,27695
2001-01,19.794944459841133,4.0114180900220235,0.4504484,25.187395,27696
2001-02,20.278372158717865,4.177074716673341,0.1290623,25.724201,27696
2001-03,20.659077839014298,4.410019072527741,0.0981977,26.533897,27696
2001-04,20.322551896027008,3.81250268425407,0.03485036,25.301075,27697
2001-05,19.75527744275084,3.760957258596225,0.12437117,24.977625,27697
2001-06,18.086802450790536,3.8893344873117113,0.40570495,24.032795,27690
2001-07,17.764634806337618,3.8168356860369803,0.056500405,24.124786,27691
2001-08,17.313574557611304,3.93885565226742,0.024288207,23.615776,27690
2001-09,18.208450167734924,4.116988154398862,0.67513204,24.559635,27690
2001-10,19.43385277795631,4.128830737635034,0.29174078,25.329891,27695
2001-11,19.20517531760774,3.9112665985497244,0.105760664,24.22469,27696
2001-12,18.94301727272796,4.227643595074267,0.07370496,24.713217,27691
2002-01,19.447429096975917,4.100123207560047,0.00045967102,25.124895,27694
2002-02,19.956115163985306,4.084862721696057,0.027043939,26.232534,27694
2002-03,21.111841074602378,4.216595994093363,0.007788062,26.69308,27697
2002-04,20.99004557728274,3.816153962793551,0.6728716,26.255241,27697
2002-05,20.06475491806694,3.9517301102435147,0.1269753,25.967274,27697
2002-06,18.7097483951972,3.9311784969149333,0.043890476,24.852264,27693
2002-07,18.10483228404738,3.898835767698802,0.080979526,24.617258,27691
2002-08,18.448247536804477,3.651900390326382,0.16254067,24.33224,27695
2002-09,18.691820034712766,3.9714467224509447,0.09933627,24.913616,27695
2002-10,19.4878303711554,4.048673888243107,0.33237487,25.056684,27696
2002-11,20.08724519523397,3.9697777352930435,0.9291984,25.201252,27696
2002-12,19.91744833407965,4.0254402056505425,0.6113231,25.067394,27696
2003-01,19.395062081063017,4.188387816695533,0.120836616,25.39136,27691
2003-02,20.01088974369664,4.498521642053952,0.6442567,26.015865,27690
2003-03,20.66995685149919,4.446573568330446,0.19196182,26.53546,27695
2003-04,20.861137392009674,4.059029052092117,1.067614,26.508541,27696
2003-05,20.556364976043255,3.7946347646772645,0.83687127,25.70135,27697
2003-06,19.063840950735514,3.8897773029999323,0.06712186,24.9981,27695
2003-07,17.881388391756527,3.741307044563085,0.15181273,24.323376,27691
2003-08,17.627798177625497,3.977033867945206,0.33991295,23.71922,27690
2003-09,18.417955428848806,3.983793186363429,0.15641463,24.989792,27693
2003-10,18.899714018136354,4.058689327526408,0.41293982,24.581097,27693
2003-11,19.500338349578264,4.053746963449183,0.431131,24.73875,27695
2003-12,19.41544761748673,4.028279213993572,0.38582316,24.67485,27693
2004-01,20.180953220318457,4.140838505505495,0.25357282,26.03459,27696
2004-02,20.582154041875,4.06719826728756,0.80406237,26.342684,27696
2004-03,20.290302130982848,4.330492623552775,0.20446217,25.806797,27695
2004-04,20.255385575324958,4.0057931966039915,0.6535518,25.701077,27696
2004-05,19.819547966817233,3.9923308461485023,0.5962604,25.59988,27696
2004-06,18.465862133247338,3.898081839207779,0.026406452,24.828568,27691
2004-07,17.655260810752285,4.024333939849264,0.16093045,24.48504,27689
2004-08,17.661346260940412,3.9562816408574255,0.25241315,24.091644,27690
2004-09,18.089481768868183,4.102930240031995,0.69075716,24.348125,27690
2004-10,18.517485898285848,4.005804645347123,0.19210646,24.408026,27693
2004-11,19.155817965502802,4.01948580823869,0.13113084,24.11757,27695
2004-12,19.071634260125663,4.121526899740907,0.08912194,24.171385,27693
2005-01,18.147178747252518,4.458956488619253,0.072123766,23.962395,27685
2005-02,19.178172678547046,4.555636246777611,0.024020672,26.391735,27687
2005-03,20.234002738935036,4.50137786950684,0.1798788,27.046396,27691
2005-04,20.844608658495503,3.948824143060872,0.34474635,26.133541,27697
2005-05,19.374279057133883,3.9841090438896622,0.18688504,25.077625,27696
2005-06,18.333460363685674,3.782843588737676,0.21390666,24.379671,27691
2005-07,17.802202491720234,3.844873259920271,0.047646165,24.110874,27691
2005-08,17.71046494890213,3.963330223464489,0.4399132,24.115776,27690
2005-09,18.221800366790653,4.047264405291999,0.09263897,25.034449,27691
2005-10,18.868827318757084,4.1783754796122965,0.21643291,24.708027,27693
2005-11,19.549154744662513,4.11207911702275,0.030761123,24.88181,27696
2005-12,18.35006471926069,4.130551477217634,0.19182312,23.659052,27688
2006-01,19.1225106512221,4.327453980320551,0.35188544,25.124895,27690
2006-02,19.89224705524991,4.475181652532818,0.69477767,26.115866,27690
2006-03,21.048112721055347,4.150076326913062,0.15883017,26.791346,27697
2006-04,20.32800282459561,3.9755683260220205,0.8551142,25.530243,27696
2006-05,19.476689489266683,4.016184644104667,0.48688513,24.749039,27696
2006-06,18.62815716597826,4.123119058274945,0.006614834,24.727894,27691
2006-07,18.13848814446575,3.80679046465252,0.13257188,24.325655,27693
2006-08,18.28364452221139,3.9159491019622212,0.224244,24.50831,27693
2006-09,18.03564333094907,4.186052398512822,0.00097230077,24.238802,27691
2006-10,19.51095457644015,4.150702698123769,0.3203864,25.31166,27695
2006-11,19.74327921106297,3.9052948448145743,0.7166985,24.770594,27696
2006-12,19.49858564547176,4.101615830184512,0.0019484758,25.29616,27696
2007-01,19.223632469818345,4.228270941254661,0.5945938,25.139622,27690
2007-02,19.466294925039218,4.477395943902119,0.098944426,26.588436,27690
2007-03,20.125741421297437,4.384147982610674,0.22904547,26.146397,27693
2007-04,20.065986827447066,4.126356727551951,0.067614004,25.692947,27696
