,Categorized_NB,Categorized_Bayes,Original_NB,Original_Bayes
RMSE_Train,236.29582655446714,223.23675113839013,240.96353153415512,228.5097243393529
RMSE_Test,133.2882661930971,155.44620873319428,147.8142334792141,140.2107257632155
MASE_Test,0.5910824838971921,0.5378025139140766,0.6718779313363766,0.6188481020574073
Bias_Test,-1.5066615774423173,-1.0752202506199882,-1.703942316177701,-1.3446237608341163
