rmse_train,rmse_test,mase_test,bias_test,theta,n
371.3584016822563,394.38451520481044,0.782165161262245,-inf,1.5,240
379.6610124505807,375.0582732500822,0.756981118173708,-inf,1.5,240
400.02305923117314,390.8811093755576,0.6863724060737272,-inf,1.5,240
399.9460380267985,378.8227927848763,0.7448644648361439,-inf,1.5,240
391.31113739580684,401.60900346813276,0.7827036257918124,-inf,1.5,240
381.2017319171919,361.5364492919997,0.6904944456280814,-inf,1.5,240
394.3548991179561,382.5,0.686986076137945,-inf,1.5,240
406.3536854863425,382.7529664592207,0.7150925925925926,-inf,1.5,240
390.3002850370468,376.42877812409614,0.7230763025365032,-inf,1.5,240
400.66388916813224,411.16977434307273,0.7497094146025083,-inf,1.5,240
397.8285657269138,380.96516682412494,0.7068733806781115,-inf,1.5,240
383.6832936051121,406.1494234474138,0.7785025643697324,-inf,1.5,240
391.49519739497873,402.17569750877124,0.8410083475858166,-inf,1.5,240
393.1212108985387,391.0323675861117,0.7032982782354634,-inf,1.5,240
444.21268132506077,411.14613683377024,0.7839185694450501,-inf,1.5,240
395.36234040223576,423.50425519310505,0.8226406715391332,-inf,1.5,240
385.5496482296411,427.4570641206748,0.8092098584675451,-inf,1.5,240
378.5904160501161,422.3973248021346,0.8962813887232493,-inf,1.5,240
395.00483251263313,359.2096648662635,0.6916346507820883,-inf,1.5,240
378.2812624776261,460.8506627241989,0.83950865136335,-inf,1.5,240
395.638079036047,433.55290911260187,0.8584776995162874,-inf,1.5,240
396.8025458797696,335.6701630072791,0.5953284315375038,-inf,1.5,240
382.9612143111449,400.9889597399576,0.7809509458002547,-inf,1.5,240
419.95080937136754,363.71234054767325,0.6437910600419854,-inf,1.5,240
422.24767489985464,418.4912384586643,0.7307280689066138,-inf,1.5,240
393.9226605566123,394.6976427173928,0.6961295092916502,-inf,1.5,240
390.8675580253069,416.1842790960113,0.8398069416656859,-inf,1.5,240
397.09382418810463,371.9823024464112,0.7218860809090019,-inf,1.5,240
376.54638796789254,408.25142886053277,0.8281719886410068,-inf,1.5,240
412.54584341217964,403.2161589437275,0.7289120217633506,-inf,1.5,240
379.183326099219,403.03471211133495,0.7645149848512255,-inf,1.5,240
389.52059209580517,407.94791334188733,0.7405873123476093,-inf,1.5,240
402.16720196124066,375.2178811481848,0.6670463038920792,-inf,1.5,240
383.78237512727617,426.99538931936956,0.7641562066028147,-inf,1.5,240
372.1895238539992,411.7318352601201,0.730171126431194,-inf,1.5,240
412.7101989693656,403.6603099554542,0.7867038099227079,-inf,1.5,240
386.4834650408734,374.5010847781352,0.7180649966187067,-inf,1.5,240
415.6475056563354,395.41739550336763,0.7096026073298801,-inf,1.5,240
387.62176850206265,377.195324069639,0.7432258299359348,-inf,1.5,240
363.85088807092393,413.9340225204978,0.7847295501621917,-inf,1.5,240
389.076832065339,391.80493126895004,0.7729630217606945,-inf,1.5,240
404.06089681300926,397.08948928421665,0.7543718133691024,-inf,1.5,240
389.16658413632246,442.96844319507306,0.8638814275119222,-inf,1.5,240
368.6336327688147,475.9715940403727,0.8943206256109482,-inf,1.5,240
382.240836766124,391.57797754725686,0.7944268418652884,-inf,1.5,240
413.35632706540247,370.842733963244,0.6225592109042858,-inf,1.5,240
396.05062018635954,387.5739983108602,0.7695397102692983,-inf,1.5,240
396.53204998671504,354.81368350163723,0.6420567729083665,-inf,1.5,240
386.81086571260295,415.3476455532963,0.719815801606107,-inf,1.5,240
399.9461487187994,368.9383417320569,0.6464440451122846,-inf,1.5,240
368.5325630117371,400.1581718520815,0.8125245640988995,-inf,1.5,240
384.62598851568345,430.8759005405926,0.9687409204027236,-inf,1.5,240
389.7785629367013,401.1744477157038,0.7120840945946904,-inf,1.5,240
408.32137312416063,421.8669814052766,0.8195422051895858,-inf,1.5,240
381.6131262482987,391.75045203122187,0.7400240876244149,-inf,1.5,240
384.0394605918338,395.9247350612656,0.7189525602519694,-inf,1.5,240
408.27918220869407,453.642709996902,0.8598162542544384,-inf,1.5,240
391.75971855632804,387.48559112995844,0.7217097953893158,-inf,1.5,240
412.68582304419743,388.4570975882236,0.7237662658066003,-inf,1.5,240
388.79595789436905,436.50391368997674,0.8556053557135821,-inf,1.5,240
385.2486345422481,462.6940583870368,0.9385204524620088,-inf,1.5,240
384.4062317934852,359.9656812345681,0.67045630179168,-inf,1.5,240
383.58578869878204,396.38843533416394,0.7524949988886419,-inf,1.5,240
381.93628804422343,414.3944879781422,0.823890657548245,-inf,1.5,240
388.68521700299675,369.03192612564027,0.7172218576428517,-inf,1.5,240
399.12515659251545,353.437730253388,0.6435258989163537,-inf,1.5,240
390.2723941898359,354.21868245477964,0.682101897442056,-inf,1.5,240
389.97732305866197,415.9169839042402,0.7630043252745722,-inf,1.5,240
385.695050363626,412.22644970129386,0.7558985779666557,-inf,1.5,240
377.1951790850461,371.6188123153437,0.69620612338036,-inf,1.5,240
384.4545581621665,375.95736127917485,0.7721790541931128,-inf,1.5,240
398.3767780527207,403.19461285256943,0.8058543196922,-inf,1.5,240
393.64517784632733,365.7242529101217,0.6750008797469292,-inf,1.5,240
404.6486902240016,432.42354815620297,0.880673932689437,-inf,1.5,240
417.92063391270835,395.45042883611427,0.6908952994698433,-inf,1.5,240
386.81470989566395,410.1049662383197,0.8309564290356843,-inf,1.5,240
416.7127807815194,404.75658837544984,0.698483236521397,-inf,1.5,240
403.8272952327517,399.214880525931,0.6636211189744324,-inf,1.5,240
377.35448354299433,403.3153749445546,0.7759146283628693,-inf,1.5,240
397.01501467198943,395.47840227585965,0.7738167505530212,-inf,1.5,240
385.4882050724769,426.9900467224031,0.8242450202221523,-inf,1.5,240
371.3194098975526,434.7893886699628,0.9012129799836601,-inf,1.5,240
392.5818983027618,363.32357593931795,0.7138227594075343,-inf,1.5,240
405.3233662768531,442.66282315098476,0.7595416496456036,-inf,1.5,240
400.8428749730581,388.81130277638107,0.7033496489802492,-inf,1.5,240
404.9112557091986,420.6502159355997,0.7625896734862349,-inf,1.5,240
402.0658567013618,404.5967642810143,0.809970729332415,-inf,1.5,240
380.753282979937,396.07293625459107,0.7441030555814098,-inf,1.5,240
388.47307258676244,433.90208668930524,0.8394111145981047,-inf,1.5,240
404.152179723183,391.33792941650825,0.7104906291762059,-inf,1.5,240
385.6945979874059,378.3491002588306,0.6672041179860638,-inf,1.5,240
393.5601063264246,405.9609997688612,0.8241065111829305,-inf,1.5,240
399.23859172805425,367.26148722674424,0.7348437742888232,-inf,1.5,240
395.4445415183609,400.64697677631364,0.7679305719699101,-inf,1.5,240
382.2588632610978,424.01014630155566,0.7925159250036091,-inf,1.5,240
402.86034594302447,378.42742038599687,0.6882727794691023,-inf,1.5,240
385.9342695546311,379.53161923613163,0.7334856564806044,-inf,1.5,240
405.32095692796344,365.50330595860095,0.6514813670081243,-inf,1.5,240
414.5758751422953,417.57519282958685,0.8003726042964225,-inf,1.5,240
393.4688083253868,415.5178997347768,0.83013810586485,-inf,1.5,240
