latitude,longitude,rainfall,date
5.395833333333338,35.27083333333333,42.524487,2010-02
5.395833333333338,35.31249999999999,43.67803,2010-02
5.395833333333338,35.35416666666666,44.833344,2010-02
5.395833333333338,35.39583333333333,45.990425,2010-02
5.395833333333338,35.43749999999999,46.026676,2010-02
5.395833333333338,35.47916666666666,47.18641,2010-02
5.395833333333338,35.52083333333333,49.47228,2010-02
5.395833333333338,35.56249999999999,49.511185,2010-02
5.395833333333338,35.60416666666666,50.67622,2010-02
5.354166666666671,35.27083333333333,41.16036,2010-02
5.354166666666671,35.31249999999999,42.307606,2010-02
5.354166666666671,35.35416666666666,43.456684,2010-02
5.354166666666671,35.39583333333333,44.60759,2010-02
5.354166666666671,35.43749999999999,46.87644,2010-02
5.354166666666671,35.47916666666666,48.03193,2010-02
5.354166666666671,35.52083333333333,48.071304,2010-02
5.354166666666671,35.56249999999999,50.348396,2010-02
5.354166666666671,35.60416666666666,50.38961,2010-02
5.354166666666671,35.64583333333333,51.55151,2010-02
5.354166666666671,35.68749999999999,51.59364,2010-02
5.354166666666671,35.72916666666666,52.758286,2010-02
5.312500000000004,35.22916666666666,37.573532,2010-02
5.312500000000004,35.27083333333333,38.70366,2010-02
5.312500000000004,35.31249999999999,40.950363,2010-02
5.312500000000004,35.35416666666666,42.09314,2010-02
5.312500000000004,35.39583333333333,44.34647,2010-02
5.312500000000004,35.43749999999999,45.493988,2010-02
5.312500000000004,35.47916666666666,46.6434,2010-02
5.312500000000004,35.52083333333333,47.794704,2010-02
5.312500000000004,35.56249999999999,48.947906,2010-02
5.312500000000004,35.60416666666666,48.9896,2010-02
5.312500000000004,35.64583333333333,50.145645,2010-02
5.312500000000004,35.68749999999999,51.303585,2010-02
5.312500000000004,35.72916666666666,52.463417,2010-02
5.312500000000004,35.77083333333333,53.583946,2010-02
5.312500000000004,35.81249999999999,53.54703,2010-02
5.312500000000004,35.85416666666666,53.510113,2010-02
5.270833333333338,35.22916666666666,36.249527,2010-02
5.270833333333338,35.27083333333333,38.471848,2010-02
5.270833333333338,35.31249999999999,39.6063,2010-02
5.270833333333338,35.35416666666666,40.742714,2010-02
5.270833333333338,35.39583333333333,42.98322,2010-02
5.270833333333338,35.43749999999999,44.12453,2010-02
5.270833333333338,35.47916666666666,45.267803,2010-02
5.270833333333338,35.52083333333333,46.41303,2010-02
5.270833333333338,35.56249999999999,46.454163,2010-02
5.270833333333338,35.60416666666666,47.602325,2010-02
5.270833333333338,35.64583333333333,48.752453,2010-02
5.270833333333338,35.68749999999999,49.904537,2010-02
5.270833333333338,35.72916666666666,51.05858,2010-02
5.270833333333338,35.77083333333333,52.17359,2010-02
5.270833333333338,35.81249999999999,52.137657,2010-02
5.229166666666671,35.14583333333333,31.658548,2010-02
5.229166666666671,35.18749999999999,33.856285,2010-02
5.229166666666671,35.22916666666666,34.963276,2010-02
5.229166666666671,35.27083333333333,36.079887,2010-02
5.229166666666671,35.31249999999999,38.301228,2010-02
5.229166666666671,35.35416666666666,39.431225,2010-02
5.229166666666671,35.39583333333333,40.563198,2010-02
5.229166666666671,35.43749999999999,41.69715,2010-02
5.229166666666671,35.47916666666666,42.833096,2010-02
5.229166666666671,35.52083333333333,43.971016,2010-02
5.229166666666671,35.56249999999999,45.110916,2010-02
5.229166666666671,35.60416666666666,46.252804,2010-02
5.229166666666671,35.64583333333333,47.396667,2010-02
5.229166666666671,35.68749999999999,48.542515,2010-02
5.229166666666671,35.72916666666666,49.690346,2010-02
5.229166666666671,35.77083333333333,50.80311,2010-02
5.229166666666671,35.81249999999999,50.774593,2010-02
5.187500000000004,35.10416666666666,29.324995,2010-02
5.187500000000004,35.14583333333333,30.424065,2010-02
5.187500000000004,35.18749999999999,32.611095,2010-02
5.187500000000004,35.22916666666666,33.71248,2010-02
5.187500000000004,35.27083333333333,34.823093,2010-02
5.187500000000004,35.31249999999999,35.943726,2010-02
5.187500000000004,35.35416666666666,37.06632,2010-02
5.187500000000004,35.39583333333333,39.28205,2010-02
5.187500000000004,35.43749999999999,39.317406,2010-02
5.187500000000004,35.47916666666666,40.445896,2010-02
5.187500000000004,35.52083333333333,41.57635,2010-02
5.187500000000004,35.56249999999999,42.708767,2010-02
5.187500000000004,35.60416666666666,43.84315,2010-02
5.187500000000004,35.64583333333333,44.979496,2010-02
5.187500000000004,35.68749999999999,46.11781,2010-02
5.187500000000004,35.72916666666666,47.258087,2010-02
5.187500000000004,35.77083333333333,48.371353,2010-02
5.187500000000004,35.81249999999999,48.35663,2010-02
5.187500000000004,35.85416666666666,48.341904,2010-02
5.145833333333338,35.06249999999999,28.094315,2010-02
5.145833333333338,35.10416666666666,29.18732,2010-02
5.145833333333338,35.14583333333333,30.28125,2010-02
5.145833333333338,35.18749999999999,30.29417,2010-02
5.145833333333338,35.22916666666666,32.47188,2010-02
5.145833333333338,35.27083333333333,33.576515,2010-02
5.145833333333338,35.31249999999999,34.690777,2010-02
5.145833333333338,35.35416666666666,35.806984,2010-02
5.145833333333338,35.39583333333333,36.92514,2010-02
5.145833333333338,35.43749999999999,38.045242,2010-02
5.145833333333338,35.47916666666666,38.079308,2010-02
5.145833333333338,35.52083333333333,40.291283,2010-02
5.145833333333338,35.56249999999999,41.41723,2010-02
5.145833333333338,35.60416666666666,42.545116,2010-02
5.145833333333338,35.64583333333333,43.67495,2010-02
5.145833333333338,35.68749999999999,43.713882,2010-02
5.145833333333338,35.72916666666666,44.84664,2010-02
5.145833333333338,35.77083333333333,45.959866,2010-02
5.145833333333338,35.81249999999999,45.957794,2010-02
