date,rainfall_mean,rainfall_std,rainfall_min,rainfall_max,rainfall_count
2000-11,81.12830170999422,47.20130417850303,15.909754,485.08038,27696
2000-12,35.824015204477185,27.687536922985483,4.1931562,168.89629,27696
2001-01,56.30893287018684,57.41491511539284,0.18834755,291.55365,27671
2001-02,9.232230916725184,7.584606327417788,0.7249727,48.700775,27684
2001-03,66.9816260293508,52.55942231979569,5.7366414,281.9035,27696
2001-04,94.60996162904391,45.40700857170663,23.367105,504.48303,27696
2001-05,49.29042072696057,52.480248033852014,2.8738725,431.7075,27696
2001-06,30.861619822457687,38.32215777147752,0.51874954,250.4193,24283
2001-07,31.11060641814542,48.152935475612416,0.4108761,252.69183,25898
2001-08,27.663071590515298,43.4018583985292,0.430386,237.40103,25888
2001-09,20.327862697788124,30.39294072202889,0.362221,169.2401,25562
2001-10,32.671174429069175,43.68970917500778,2.478469,277.03726,27696
2001-11,127.98994255668688,72.02906823359211,22.51333,758.34406,27696
2001-12,30.611891334358752,20.59292846277829,3.369803,136.77968,27696
2002-01,26.626776030381627,27.89345198971997,0.17638233,158.9337,27671
2002-02,45.412503452069785,39.47480284073752,0.17297679,186.49597,27684
2002-03,49.55565709099148,31.810496840246536,4.489806,199.74257,27696
2002-04,167.27335986763433,78.35342832283438,35.995556,1095.3578,27696
2002-05,72.53828554851964,75.59381532157938,3.7805579,480.26257,27696
2002-06,15.618518675994316,20.24726495768033,0.33473274,115.88801,24283
2002-07,18.951797590685768,23.638013038437304,0.26444942,108.753235,25898
2002-08,28.251315425622295,35.5790287494406,0.34964678,223.79681,25888
2002-09,47.84755051322901,66.8640150434211,0.3135824,332.0064,25562
2002-10,71.35729600882438,50.794302653483676,5.6219883,534.0829,27696
2002-11,80.6212045522097,50.054288609628614,16.171606,482.58615,27696
2002-12,138.89668022118718,78.33254228771243,22.708014,434.58325,27696
2003-01,9.41588895359799,12.397301749660482,0.19704273,72.78118,27671
2003-02,7.446599291806459,10.584008121363354,0.21499461,85.314644,27684
2003-03,50.135140896746826,36.82979408087397,5.315406,235.01248,27696
2003-04,161.0319424433131,80.63011455626778,37.26273,1049.1384,27696
2003-05,93.30961319634243,87.99412582665023,6.909374,628.6067,27696
2003-06,24.273071493858254,28.881139170223417,0.515599,170.01643,24283
2003-07,28.90598127811993,39.46582237176173,0.3336143,209.32051,25898
2003-08,27.52829320747412,42.44171679177094,0.32345784,261.31183,25888
2003-09,26.405516532259213,30.538912512462005,0.70418173,159.95828,25562
2003-10,40.02153065829723,28.127440441631748,4.277194,428.4945,27696
2003-11,78.9668486754405,43.079040264054846,8.873809,491.27853,27696
2003-12,36.439527099360916,20.9717103991126,5.2733483,132.42014,27696
2004-01,36.50474972010408,33.1822010914019,0.86894834,166.49559,27671
2004-02,20.778869211470166,19.249195047152455,0.694709,103.24518,27684
2004-03,56.117126213027156,24.674253577389493,10.416697,244.17883,27696
2004-04,115.12809849115395,45.032986075934,37.106647,687.5809,27696
2004-05,55.241537062229206,51.12659327022799,3.7174044,351.38712,27696
2004-06,27.182145521809908,34.36899893800762,0.46601778,192.54253,24283
2004-07,27.031379730805853,37.77842458634494,0.29779944,203.64287,25898
2004-08,27.780200122351282,42.72655265944827,0.29224333,262.33908,25888
2004-09,23.22968105786206,34.94188164264917,0.29720423,202.8087,25562
2004-10,61.14707086516825,44.39765986706426,4.253027,464.00708,27696
2004-11,92.59925356899915,40.28088575111892,24.165161,544.86914,27696
