latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
1.6459,36.0567,331.4,2.1,1.4,2013-01-01,1134,Aqua,MODIS,52,6.2,306.7,35,D,0
4.5492,34.3606,324.4,3.4,1.7,2013-01-02,0740,Terra,MODIS,68,6.2,296.1,78.5,D,0
4.5444,34.3679,322.9,3.4,1.7,2013-01-02,0740,Terra,MODIS,65,6.2,295.8,67.7,D,0
4.5995,35.0922,320.1,2.9,1.6,2013-01-02,0740,Terra,MODIS,49,6.2,299.8,27.1,D,0
1.5358,35.999,326.7,2.2,1.4,2013-01-02,0741,Terra,MODIS,77,6.2,305.4,35.4,D,0
3.5102,37.8873,329.7,1.9,1.4,2013-01-02,1039,Aqua,MODIS,67,6.2,310.4,31.8,D,0
4.6815,34.8937,335.9,3.2,1.7,2013-01-02,1040,Aqua,MODIS,79,6.2,302.4,124.3,D,0
4.6771,34.8657,334.9,3.2,1.7,2013-01-02,1040,Aqua,MODIS,64,6.2,304.3,119.6,D,0
4.6177,34.8845,304.4,1,1,2013-01-02,2004,Terra,MODIS,60,6.2,292.2,5,N,0
4.5812,34.8864,343.3,1,1,2013-01-02,2004,Terra,MODIS,100,6.2,293.9,48.5,N,0
4.5722,34.8878,320.6,1,1,2013-01-02,2004,Terra,MODIS,100,6.2,292.3,16.8,N,0
4.5825,34.8955,361.8,1,1,2013-01-02,2004,Terra,MODIS,100,6.2,295.2,91.3,N,0
4.5735,34.8968,344.8,1,1,2013-01-02,2004,Terra,MODIS,100,6.2,294.8,51.3,N,0
4.457,34.8553,305.6,1,1,2013-01-02,2004,Terra,MODIS,65,6.2,286.8,7,N,0
4.4583,34.8644,309.9,1,1,2013-01-02,2004,Terra,MODIS,79,6.2,287.2,9.8,N,0
3.5454,37.8886,306.7,1.1,1.1,2013-01-02,2004,Terra,MODIS,69,6.2,290.4,7.8,N,0
4.6641,34.887,305.6,1,1,2013-01-02,2004,Terra,MODIS,65,6.2,291.5,5.5,N,0
4.6267,34.8832,333.4,1,1,2013-01-02,2004,Terra,MODIS,100,6.2,292.4,32.9,N,0
4.6281,34.8922,316,1,1,2013-01-02,2004,Terra,MODIS,92,6.2,292.1,13.2,N,0
4.4566,34.8948,330.3,1.2,1.1,2013-01-03,0823,Terra,MODIS,80,6.2,300.5,21.5,D,0
4.4469,34.8934,325.8,1.2,1.1,2013-01-03,0823,Terra,MODIS,64,6.2,299.3,14.4,D,0
4.6122,34.8864,328.6,1.2,1.1,2013-01-03,0823,Terra,MODIS,78,6.2,298.6,16,D,0
4.6025,34.885,323.2,1.2,1.1,2013-01-03,0823,Terra,MODIS,69,6.2,298.4,8.7,D,0
4.6009,34.8956,323.1,1.2,1.1,2013-01-03,0823,Terra,MODIS,70,6.2,298.5,8.4,D,0
4.5911,34.8942,323.4,1.2,1.1,2013-01-03,0823,Terra,MODIS,47,6.2,298.8,8.7,D,0
4.557,34.9052,324.9,1.2,1.1,2013-01-03,0823,Terra,MODIS,73,6.2,299.2,13,D,0
4.6528,34.8815,331.2,1.2,1.1,2013-01-03,0823,Terra,MODIS,81,6.2,300.8,20.4,D,0
4.6512,34.8922,328.3,1.2,1.1,2013-01-03,0823,Terra,MODIS,78,6.2,299.7,15.1,D,0
3.5056,37.8914,332.8,2,1.4,2013-01-03,0823,Terra,MODIS,79,6.2,307.8,50,D,0
3.5085,37.8729,326.4,2,1.4,2013-01-03,0823,Terra,MODIS,50,6.2,305.4,27.9,D,0
3.518,37.8932,328.3,2,1.4,2013-01-03,0823,Terra,MODIS,26,6.2,308.5,33.4,D,0
3.5208,37.8748,342.6,2,1.4,2013-01-03,0823,Terra,MODIS,89,6.2,306.6,93.2,D,0
3.5455,37.8786,338.1,2,1.4,2013-01-03,0823,Terra,MODIS,85,6.2,307.1,72.9,D,0
3.5551,37.8987,324.6,2,1.4,2013-01-03,0823,Terra,MODIS,33,6.2,305.5,22.6,D,0
3.5579,37.8805,335.1,2,1.4,2013-01-03,0823,Terra,MODIS,82,6.2,305.9,59.6,D,0
3.5604,37.8867,330,2,1.4,2013-01-03,0823,Terra,MODIS,65,6.2,306,38.2,D,0
4.4712,34.8642,336.1,1.2,1.1,2013-01-03,0823,Terra,MODIS,85,6.2,298.4,33.5,D,0
4.4696,34.8748,327.9,1.2,1.1,2013-01-03,0823,Terra,MODIS,71,6.2,298.6,18.2,D,0
0.5993,34.6984,312.5,1.1,1,2013-01-03,1121,Aqua,MODIS,51,6.2,293.7,5.8,D,0
1.5222,39.5361,335.4,2.2,1.5,2013-01-03,1121,Aqua,MODIS,80,6.2,311.1,46.8,D,0
4.5702,34.7987,332.7,1.2,1.1,2013-01-03,1122,Aqua,MODIS,81,6.2,299,19.2,D,0
4.593,34.8907,327.3,1.2,1.1,2013-01-03,1122,Aqua,MODIS,72,6.2,295.3,10.2,D,0
1.6259,36.7173,343.6,1.4,1.2,2013-01-03,1122,Aqua,MODIS,89,6.2,302.5,61.3,D,0
3.5602,37.8775,339.5,1.8,1.3,2013-01-03,1122,Aqua,MODIS,85,6.2,303.2,61.8,D,0
3.5779,37.8688,328.6,1.8,1.3,2013-01-03,1122,Aqua,MODIS,65,6.2,301.1,24.6,D,0
3.5639,37.8542,336.2,1.8,1.3,2013-01-03,1122,Aqua,MODIS,81,6.2,300,52.3,D,0
3.5661,37.8705,350.6,1.8,1.3,2013-01-03,1122,Aqua,MODIS,94,6.2,303.4,111,D,0
3.5684,37.8869,334.9,1.8,1.3,2013-01-03,1122,Aqua,MODIS,80,6.2,301.8,43.1,D,0
4.4669,34.8621,338.9,1.2,1.1,2013-01-03,1122,Aqua,MODIS,86,6.2,299.4,34.6,D,0
4.4684,34.8724,338.3,1.2,1.1,2013-01-03,1122,Aqua,MODIS,85,6.2,299.5,31.6,D,0
1.6155,36.7188,331.7,1.4,1.2,2013-01-03,1122,Aqua,MODIS,77,6.2,303,31.2,D,0
4.4765,34.8607,337.1,1.2,1.1,2013-01-03,1122,Aqua,MODIS,84,6.2,298.1,32.4,D,0
3.5625,37.8938,337.6,1.8,1.3,2013-01-03,1122,Aqua,MODIS,83,6.2,302,54.9,D,0
