latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
1.585,40.8472,334.8,1.3,1.1,2005-01-01,0758,Terra,MODIS,82,6.2,308.3,34.9,D,0
0.7031,35.2785,315.9,1.1,1.1,2005-01-01,0759,Terra,MODIS,51,6.2,301.5,7.8,D,0
-4.4407,39.4987,320.7,1.3,1.1,2005-01-01,0800,Terra,MODIS,56,6.2,298.1,14.1,D,0
-2.5688,40.2563,326.2,1.3,1.1,2005-01-01,0800,Terra,MODIS,73,6.2,305.2,20.3,D,0
-2.5671,40.2444,324.2,1.3,1.1,2005-01-01,0800,Terra,MODIS,69,6.2,306,16.6,D,0
-4.0998,39.5726,323.2,1,1,2005-01-01,1052,Aqua,MODIS,44,6.2,305.8,8,D,0
-4.3349,39.4644,321.2,1,1,2005-01-01,1052,Aqua,MODIS,69,6.2,304.6,8.2,D,0
-4.1472,39.5571,326.6,1,1,2005-01-01,1052,Aqua,MODIS,60,6.2,307.5,8.7,D,0
-2.5571,40.26,332.2,1,1,2005-01-01,1053,Aqua,MODIS,72,6.2,313.5,12,D,0
-2.2707,40.6564,327.4,1,1,2005-01-01,1053,Aqua,MODIS,68,6.2,310.3,11,D,0
-1.8595,40.5727,331.5,1,1,2005-01-01,1053,Aqua,MODIS,75,6.2,312.9,15.6,D,0
-2.1577,40.7989,329.3,1,1,2005-01-01,1053,Aqua,MODIS,72,6.2,309.4,15.2,D,0
-2.4877,40.5537,326.9,1,1,2005-01-01,1053,Aqua,MODIS,48,6.2,307.9,11,D,0
-2.489,40.5448,325.6,1,1,2005-01-01,1053,Aqua,MODIS,54,6.2,309.3,10.2,D,0
-2.4673,40.569,324.9,1,1,2005-01-01,1053,Aqua,MODIS,38,6.2,308.6,9.2,D,0
-2.4275,40.5907,338.6,1,1,2005-01-01,1053,Aqua,MODIS,84,6.2,310,28.2,D,0
-0.917,34.5376,321.4,1.8,1.3,2005-01-01,1053,Aqua,MODIS,74,6.2,301.3,30.1,D,0
-0.9193,34.5213,325.3,1.8,1.3,2005-01-01,1053,Aqua,MODIS,78,6.2,301,40.3,D,0
1.5759,40.8434,336.1,1.1,1,2005-01-01,1054,Aqua,MODIS,78,6.2,315.3,20.4,D,0
0.4065,34.5696,316.8,1.7,1.3,2005-01-01,1054,Aqua,MODIS,59,6.2,302.7,13.3,D,0
1.5852,40.8421,329.8,1.1,1,2005-01-01,1054,Aqua,MODIS,64,6.2,315.5,11.9,D,0
1.5865,40.8516,327.4,1.1,1,2005-01-01,1054,Aqua,MODIS,53,6.2,314.6,8.9,D,0
1.612,40.8517,327.1,1.1,1,2005-01-01,1054,Aqua,MODIS,47,6.2,315,8.2,D,0
1.5746,40.834,336.7,1.1,1,2005-01-01,1054,Aqua,MODIS,79,6.2,314.4,21.4,D,0
0.3938,34.5113,319.1,2,1.4,2005-01-02,1137,Aqua,MODIS,47,6.2,302.6,18.7,D,0
0.3897,34.5191,322.6,2,1.4,2005-01-02,1137,Aqua,MODIS,67,6.2,301.6,30.2,D,0
1.6557,40.8916,320.4,1,1,2005-01-03,0746,Terra,MODIS,31,6.2,308.8,6,D,0
1.6544,40.9005,320.6,1,1,2005-01-03,0746,Terra,MODIS,38,6.2,307.8,6.2,D,0
1.6669,36.3652,336.7,1.6,1.2,2005-01-03,0746,Terra,MODIS,0,6.2,319.9,23.9,D,0
-0.0628,35.0894,318.7,1.8,1.3,2005-01-03,0747,Terra,MODIS,64,6.2,304.7,15.1,D,0
-1.9477,40.7117,325.1,1,1,2005-01-03,0747,Terra,MODIS,65,6.2,304.6,11.6,D,0
-2.1225,36.0583,331,1.4,1.2,2005-01-03,0747,Terra,MODIS,35,6.2,309.9,24.5,D,0
-0.0687,35.0826,322.7,1.8,1.3,2005-01-03,0747,Terra,MODIS,67,6.2,305.4,21.8,D,0
