latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
3.4237,38.4829,342.1,1,1,2014-01-01,1104,Aqua,MODIS,83,6.2,320,24.6,D,0
3.425,38.4921,334.7,1,1,2014-01-01,1104,Aqua,MODIS,56,6.2,319.1,10.9,D,0
1.8208,35.5151,348.2,1.4,1.2,2014-01-03,0753,Terra,MODIS,93,6.2,308.3,73.8,D,0
1.8437,35.5054,341.9,1.4,1.2,2014-01-03,0753,Terra,MODIS,89,6.2,307.1,52.6,D,0
1.8505,35.4996,323,1.4,1.2,2014-01-03,0753,Terra,MODIS,41,6.2,306.2,10.2,D,0
1.8382,35.5108,334.2,1.4,1.2,2014-01-03,0753,Terra,MODIS,82,6.2,306.5,32.5,D,0
1.8487,35.5122,330,1.4,1.2,2014-01-03,0753,Terra,MODIS,77,6.2,306.7,23.6,D,0
1.8189,35.5277,323,1.4,1.2,2014-01-03,0753,Terra,MODIS,40,6.2,306.5,11.2,D,0
-1.7465,41.2118,322.6,1,1,2014-01-03,1050,Aqua,MODIS,63,6.2,303,10.8,D,0
1.8377,35.4965,336.5,1.8,1.3,2014-01-03,1051,Aqua,MODIS,78,6.2,311.8,55.8,D,0
4.062,34.3793,309.7,1.1,1,2014-01-03,2017,Terra,MODIS,78,6.2,293.8,8.8,N,0
-0.8728,34.5957,315.7,2.3,1.5,2014-01-04,0837,Terra,MODIS,67,6.2,299,28.8,D,0
-0.181,36.0577,315.8,3,1.6,2014-01-04,0837,Terra,MODIS,69,6.2,297.9,42.8,D,0
-0.8692,34.5909,312.5,2.3,1.5,2014-01-04,0837,Terra,MODIS,57,6.2,298.9,21.5,D,0
-0.1762,36.0358,322.3,3,1.6,2014-01-04,0837,Terra,MODIS,78,6.2,299.5,69.8,D,0
-0.177,36.0303,316.5,3,1.6,2014-01-04,0837,Terra,MODIS,71,6.2,298.9,45.1,D,0
-2.0874,40.8736,318.6,1.4,1.2,2014-01-05,1038,Aqua,MODIS,24,6.2,300.5,10.2,D,0
-2.0892,40.8609,324.6,1.4,1.2,2014-01-05,1038,Aqua,MODIS,71,6.2,303.5,20.4,D,0
1.6461,36.2725,352.2,2.8,1.6,2014-01-05,1039,Aqua,MODIS,95,6.2,316.8,179,D,0
1.6436,36.2777,350.4,2.8,1.6,2014-01-05,1039,Aqua,MODIS,91,6.2,317.2,154.4,D,0
3.8003,35.08,328.7,1.3,1.1,2014-01-06,0823,Terra,MODIS,48,6.2,304.5,22.1,D,0
3.802,35.0688,342.6,1.3,1.1,2014-01-06,0823,Terra,MODIS,87,6.2,305.2,53.9,D,0
3.7903,35.0786,326.3,1.3,1.1,2014-01-06,0823,Terra,MODIS,34,6.2,301.6,19.5,D,0
0.8063,35.328,314.7,1.5,1.2,2014-01-06,0824,Terra,MODIS,51,6.2,301.4,7.8,D,0
0.9903,34.857,319.4,1.3,1.1,2014-01-06,0824,Terra,MODIS,67,6.2,301.1,12.1,D,0
2.9336,34.857,333,1.3,1.1,2014-01-06,0824,Terra,MODIS,76,6.2,303.9,35.1,D,0
2.061,36.1491,338.7,1.6,1.2,2014-01-06,0824,Terra,MODIS,85,6.2,316.6,35,D,0
2.0608,36.1427,334.4,1.6,1.2,2014-01-06,0824,Terra,MODIS,80,6.2,316.8,22.7,D,0
2.0588,36.1568,332.7,1.6,1.2,2014-01-06,0824,Terra,MODIS,78,6.2,314.6,18.6,D,0
3.799,35.0689,333.5,1.2,1.1,2014-01-06,1122,Aqua,MODIS,66,6.2,311.3,21.9,D,0
3.7798,35.0715,350.1,1.2,1.1,2014-01-06,1122,Aqua,MODIS,92,6.2,308.4,59.6,D,0
3.7909,35.0806,337.5,1.2,1.1,2014-01-06,1122,Aqua,MODIS,76,6.2,308.4,27.8,D,0
3.7976,35.059,349.5,1.2,1.1,2014-01-06,1122,Aqua,MODIS,91,6.2,310.8,56.3,D,0
3.7813,35.0824,340.6,1.2,1.1,2014-01-06,1122,Aqua,MODIS,81,6.2,306.7,34.6,D,0
3.7895,35.0705,331.7,1.2,1.1,2014-01-06,1122,Aqua,MODIS,59,6.2,310.7,19.7,D,0
2.9299,34.8466,335.5,1.1,1.1,2014-01-06,1122,Aqua,MODIS,75,6.2,310.2,25,D,0
2.9313,34.8563,329.8,1.1,1.1,2014-01-06,1122,Aqua,MODIS,45,6.2,309.3,16.8,D,0
4.7733,35.2487,330.3,1.2,1.1,2014-01-06,1123,Aqua,MODIS,38,6.2,310.1,19.4,D,0
3.8098,35.0905,303.9,2.1,1.4,2014-01-06,2342,Aqua,MODIS,57,6.2,293.4,13,N,0
1.1174,38.8755,321.3,1,1,2014-01-07,1951,Terra,MODIS,100,6.2,296.3,17.4,N,0
1.1085,38.8767,316.3,1,1,2014-01-07,1951,Terra,MODIS,92,6.2,295,12.6,N,0
1.1187,38.8844,315.6,1,1,2014-01-07,1951,Terra,MODIS,91,6.2,296,11.9,N,0
1.1189,38.8881,307.8,1.3,1.1,2014-01-07,2247,Aqua,MODIS,72,6.2,293.6,10.7,N,0
-0.1421,35.2331,323.8,1,1,2014-01-08,0812,Terra,MODIS,78,6.2,297.6,16.5,D,0
1.1126,38.8962,326.2,1.6,1.2,2014-01-08,0812,Terra,MODIS,72,6.2,297.1,19.1,D,0
1.1146,38.8824,344.7,1.6,1.2,2014-01-08,0812,Terra,MODIS,91,6.2,297.9,73,D,0
1.1113,38.8901,334.9,1.6,1.2,2014-01-08,0812,Terra,MODIS,83,6.2,297.6,40.4,D,0
1.1133,38.8764,334.4,1.6,1.2,2014-01-08,0812,Terra,MODIS,83,6.2,297.5,41.1,D,0
0.4999,35.1274,315.1,1,1,2014-01-08,0812,Terra,MODIS,62,6.2,300,6,D,0
-0.1912,35.8222,320.5,1.1,1,2014-01-08,0812,Terra,MODIS,75,6.2,300.3,11.6,D,0
1.1277,38.8702,326,1.5,1.2,2014-01-08,0812,Terra,MODIS,70,6.2,296.3,20.9,D,0
-3.0429,39.9191,341.6,1.2,1.1,2014-01-08,1108,Aqua,MODIS,88,6.2,302.5,43.3,D,0
-3.0414,39.9299,325.7,1.2,1.1,2014-01-08,1108,Aqua,MODIS,62,6.2,302.7,13.3,D,0
-2.4313,40.6156,328.4,1.4,1.2,2014-01-08,1108,Aqua,MODIS,71,6.2,302.5,20.2,D,0
0.492,35.394,373.7,1,1,2014-01-08,1109,Aqua,MODIS,100,6.2,313.7,124.9,D,0
0.4933,35.4032,351.3,1,1,2014-01-08,1109,Aqua,MODIS,96,6.2,307.4,58,D,0
-1.3699,36.9183,326.7,1,1,2014-01-08,1109,Aqua,MODIS,49,6.2,309.3,8.7,D,0
4.5114,34.354,328.8,1,1,2014-01-08,1110,Aqua,MODIS,63,6.2,307.3,13.8,D,0
3.884,34.1285,302.2,2.1,1.4,2014-01-08,2035,Terra,MODIS,42,6.2,289.5,12.1,N,0
3.8834,34.1343,303.6,2.1,1.4,2014-01-08,2035,Terra,MODIS,56,6.2,289.7,15.8,N,0
