latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-1.5926,35.3572,320.7,1.3,1.1,2002-01-02,0757,Terra,MODIS,33,6.2,298.5,11.5,D,0
-1.5818,37.1035,322,1.1,1,2002-01-02,0757,Terra,MODIS,53,6.2,304.2,7.5,D,0
2.1186,36.4293,334.6,2.9,1.6,2002-01-03,0839,Terra,MODIS,67,6.2,308.9,79.4,D,0
-2.101,40.8107,319.5,1,1,2002-01-04,0745,Terra,MODIS,36,6.2,299.1,7.2,D,0
-0.3704,35.7369,309.1,1.6,1.3,2002-01-05,0827,Terra,MODIS,28,6.2,292,14,D,0
-0.4532,35.4382,314.6,1.5,1.2,2002-01-05,0827,Terra,MODIS,67,6.2,290.3,20.7,D,0
-1.8808,40.8761,326.1,1.4,1.2,2002-01-06,0732,Terra,MODIS,78,6.2,297.8,26.2,D,0
2.7946,35.3759,329,1,1,2002-01-07,0814,Terra,MODIS,53,6.2,306.7,11.4,D,0
-0.9243,34.5471,318.2,1,1,2002-01-07,0815,Terra,MODIS,64,6.2,300.4,9.2,D,0
-0.2125,35.7241,314.3,1.1,1,2002-01-07,0815,Terra,MODIS,41,6.2,292.4,10.1,D,0
0.3734,34.4915,359.4,1,1,2002-01-07,0815,Terra,MODIS,99,6.2,303.3,76,D,0
0.3747,34.4826,316,1,1,2002-01-07,0815,Terra,MODIS,48,6.2,301.7,5.2,D,0
-1.3482,34.9494,314.2,2,1.4,2002-01-07,2036,Terra,MODIS,89,6.2,287.9,36.9,N,0
-1.3425,34.9599,311.7,2,1.4,2002-01-07,2036,Terra,MODIS,74,6.2,286.8,31.4,N,0
-1.3455,34.9671,309.9,2,1.4,2002-01-07,2036,Terra,MODIS,68,6.2,286.4,28.3,N,0
-1.3303,34.9579,300.7,2,1.4,2002-01-07,2036,Terra,MODIS,22,6.2,286.8,13.5,N,0
-1.3329,34.9401,304.1,2,1.4,2002-01-07,2036,Terra,MODIS,59,6.2,287.8,18.1,N,0
-1.3451,34.9421,311.9,2,1.4,2002-01-07,2036,Terra,MODIS,73,6.2,287.9,30.9,N,0
-1.3573,34.9441,305.9,2,1.4,2002-01-07,2036,Terra,MODIS,60,6.2,287.6,21.3,N,0
-0.4154,35.7164,318.4,1.1,1,2002-01-09,0802,Terra,MODIS,56,6.2,300.8,11.2,D,0
0.788,35.3696,320.3,1.1,1.1,2002-01-09,0802,Terra,MODIS,58,6.2,304.7,8.2,D,0
0.9756,34.9401,320,1.2,1.1,2002-01-09,0802,Terra,MODIS,62,6.2,300,10.3,D,0
