latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
1.635,38.4667,319.1,2.5,1.5,2010-01-03,1035,Aqua,MODIS,39,6.2,297.6,41.8,D,0
-3.7643,39.8362,328,1,1,2010-01-06,1104,Aqua,MODIS,0,6.2,288.9,18.6,D,0
-3.7553,39.8349,327.7,1,1,2010-01-06,1104,Aqua,MODIS,73,6.2,286.1,18,D,0
-3.7539,39.844,328.4,1,1,2010-01-06,1104,Aqua,MODIS,0,6.2,284.5,18.8,D,0
-3.7312,39.8225,347.6,1.1,1.1,2010-01-08,1052,Aqua,MODIS,94,6.2,300.1,55.2,D,0
-3.7298,39.8325,328.7,1.1,1.1,2010-01-08,1052,Aqua,MODIS,82,6.2,299.3,18.2,D,0
0.5095,40.5779,327.8,2.6,1.5,2010-01-11,1123,Aqua,MODIS,68,6.2,306.2,40.1,D,0
0.5078,40.5173,304.5,4.3,1.9,2010-01-11,1908,Terra,MODIS,60,6.2,292.4,40.2,N,0
0.5162,40.5474,308.5,4.2,1.9,2010-01-11,1908,Terra,MODIS,75,6.2,292.5,59.6,N,0
0.5131,40.5547,307.8,4.2,1.9,2010-01-11,1908,Terra,MODIS,73,6.2,292.4,55.2,N,0
-1.7036,41.321,321.8,1.3,1.1,2010-01-12,0729,Terra,MODIS,68,6.2,299.4,18.1,D,0
2.7355,36.2535,337.2,1,1,2010-01-13,0811,Terra,MODIS,83,6.2,307.2,24.9,D,0
2.7341,36.2628,373.4,1,1,2010-01-13,0811,Terra,MODIS,100,6.2,308.2,121,D,0
1.1684,35.074,319.8,1,1,2010-01-13,0812,Terra,MODIS,69,6.2,304.4,8.6,D,0
-3.7193,39.8243,336.1,1.2,1.1,2010-01-13,1110,Aqua,MODIS,85,6.2,300.5,31,D,0
-3.7178,39.8348,345.1,1.2,1.1,2010-01-13,1110,Aqua,MODIS,92,6.2,300.3,50.3,D,0
