metric,model,n,theta,value
bias_test,BNB,60,1.5,-0.4042499999999998
bias_test,BNB,60,5.0,-0.4054166666666665
bias_test,BNB,60,10.0,-0.40316666666666645
bias_test,BNB,60,100.0,-0.4054166666666665
bias_test,BNB,120,1.5,0.8985833333333333
bias_test,BNB,120,5.0,0.7534166666666666
bias_test,BNB,120,10.0,0.8992916666666666
bias_test,BNB,120,100.0,0.7534583333333333
bias_test,BNB,240,1.5,0.8031458333333331
bias_test,BNB,240,5.0,0.8172708333333334
bias_test,BNB,240,10.0,0.8033333333333332
bias_test,BNB,240,100.0,0.00443750000000003
bias_test,BNB,360,1.5,0.7132083333333333
bias_test,BNB,360,5.0,0.7376805555555557
bias_test,BNB,360,10.0,0.7137361111111111
bias_test,BNB,360,100.0,0.7385555555555555
bias_test,NB,60,1.5,-4.554583333333333
bias_test,NB,60,5.0,-4.554666666666667
bias_test,NB,60,10.0,-4.5545
bias_test,NB,60,100.0,-4.5545
bias_test,NB,120,1.5,-11.245458333333332
bias_test,NB,120,5.0,-11.497791666666666
bias_test,NB,120,10.0,-11.245458333333334
bias_test,NB,120,100.0,-11.497875
bias_test,NB,240,1.5,-10.4915625
bias_test,NB,240,5.0,-10.441375
bias_test,NB,240,10.0,-10.491520833333333
bias_test,NB,240,100.0,-10.441416666666667
bias_test,NB,360,1.5,-9.942250000000001
bias_test,NB,360,5.0,-9.901388888888889
bias_test,NB,360,10.0,-9.942250000000001
bias_test,NB,360,100.0,-9.819125
mase_test,BNB,60,1.5,0.03748208278224185
mase_test,BNB,60,5.0,0.037481087995067046
mase_test,BNB,60,10.0,0.03749473412346952
mase_test,BNB,60,100.0,0.037479421589393574
mase_test,BNB,120,1.5,0.03212715617149171
mase_test,BNB,120,5.0,0.029879226948090226
mase_test,BNB,120,10.0,0.032132509515294894
mase_test,BNB,120,100.0,0.029871072422269895
mase_test,BNB,240,1.5,0.028643090676239207
mase_test,BNB,240,5.0,0.02912997316176323
mase_test,BNB,240,10.0,0.02864969569783992
mase_test,BNB,240,100.0,0.7208086940681665
mase_test,BNB,360,1.5,0.0288952327776162
mase_test,BNB,360,5.0,0.028793457150026094
mase_test,BNB,360,10.0,0.02889906096664943
mase_test,BNB,360,100.0,0.029059859700213114
mase_test,NB,60,1.5,0.051302278778431354
mase_test,NB,60,5.0,0.05130560810133659
mase_test,NB,60,10.0,0.051305829500189706
mase_test,NB,60,100.0,0.05130334585052126
mase_test,NB,120,1.5,0.14407604461552592
mase_test,NB,120,5.0,0.14728898724093678
mase_test,NB,120,10.0,0.1440767117791679
mase_test,NB,120,100.0,0.14729000556975477
mase_test,NB,240,1.5,0.17120506260385582
mase_test,NB,240,5.0,0.17154516893178293
mase_test,NB,240,10.0,0.17120432596314217
mase_test,NB,240,100.0,0.1715459014012529
mase_test,NB,360,1.5,0.17643318736257105
mase_test,NB,360,5.0,0.17544665098032358
mase_test,NB,360,10.0,0.1764328099224661
mase_test,NB,360,100.0,0.17426262472183002
rmse_test,BNB,60,1.5,4.3734437825753485
rmse_test,BNB,60,5.0,4.374409657459058
rmse_test,BNB,60,10.0,4.376398822275032
rmse_test,BNB,60,100.0,4.374067951539196
rmse_test,BNB,120,1.5,2.824768367040525
rmse_test,BNB,120,5.0,2.675114723503137
rmse_test,BNB,120,10.0,2.824990271202885
rmse_test,BNB,120,100.0,2.674282823406255
rmse_test,BNB,240,1.5,2.0702227591868896
rmse_test,BNB,240,5.0,2.088580935371539
rmse_test,BNB,240,10.0,2.0707403827439705
rmse_test,BNB,240,100.0,32.53625006806175
rmse_test,BNB,360,1.5,1.9291206143755557
rmse_test,BNB,360,5.0,1.9295015731302312
rmse_test,BNB,360,10.0,1.9293134881628866
rmse_test,BNB,360,100.0,1.9403122231214578
rmse_test,NB,60,1.5,5.987774468035999
rmse_test,NB,60,5.0,5.988051911400376
rmse_test,NB,60,10.0,5.988081727982187
rmse_test,NB,60,100.0,5.98779339087733
rmse_test,NB,120,1.5,11.7286277563132
rmse_test,NB,120,5.0,11.97842025284437
rmse_test,NB,120,10.0,11.728629536652774
rmse_test,NB,120,100.0,11.97850221063612
rmse_test,NB,240,1.5,10.969409377286278
rmse_test,NB,240,5.0,10.91726021670921
rmse_test,NB,240,10.0,10.969368180097561
rmse_test,NB,240,100.0,10.917289817452755
rmse_test,NB,360,1.5,10.405045590259565
rmse_test,NB,360,5.0,10.368962894023062
rmse_test,NB,360,10.0,10.405055305571118
rmse_test,NB,360,100.0,10.286894484671011
rmse_train,BNB,60,1.5,4.083469262709631
rmse_train,BNB,60,5.0,4.083754729919608
rmse_train,BNB,60,10.0,4.082917624151386
rmse_train,BNB,60,100.0,4.0837478876583955
rmse_train,BNB,120,1.5,3.7910437187669195
rmse_train,BNB,120,5.0,3.7512791016018476
rmse_train,BNB,120,10.0,3.790042526650163
rmse_train,BNB,120,100.0,3.7515833206793556
rmse_train,BNB,240,1.5,3.8886940309050737
rmse_train,BNB,240,5.0,3.8621182033950237
rmse_train,BNB,240,10.0,3.8881409673499228
rmse_train,BNB,240,100.0,31.84069941997598
rmse_train,BNB,360,1.5,3.9000461539238853
rmse_train,BNB,360,5.0,3.8628980580959418
rmse_train,BNB,360,10.0,3.900643902497628
rmse_train,BNB,360,100.0,3.840474160842523
rmse_train,NB,60,1.5,29.14151011657324
rmse_train,NB,60,5.0,29.141724215395026
rmse_train,NB,60,10.0,29.141594685754924
rmse_train,NB,60,100.0,29.141689395931035
rmse_train,NB,120,1.5,30.110953759970418
rmse_train,NB,120,5.0,30.259737940833592
rmse_train,NB,120,10.0,30.11113967058794
rmse_train,NB,120,100.0,30.259715672460565
rmse_train,NB,240,1.5,35.43444196850888
rmse_train,NB,240,5.0,35.23330045122818
rmse_train,NB,240,10.0,35.43462480440586
rmse_train,NB,240,100.0,35.23330295513632
rmse_train,NB,360,1.5,36.59764747797877
rmse_train,NB,360,5.0,36.46379609779044
rmse_train,NB,360,10.0,36.59777968610891
rmse_train,NB,360,100.0,36.160937947117766
