"","rmse_train","rmse_test","mase_test","bias_test","theta","n"
"1",33.6131484690143,34.9797560502262,0.660440928733612,-1.77777777777778,100,360
"2",33.5603208996709,40.9910220522603,0.749471033217242,5.81944444444444,100,360
"3",31.1292667758173,29.2242289129338,0.642956201357841,2.08333333333333,100,360
"4",29.3283613210452,33.2534459367246,0.670444795444795,-0.486111111111111,100,360
"5",31.4329643845438,33.7801305832618,0.777020507987794,6.20833333333333,100,360
"6",31.1145397416278,36.4070353396459,0.7845755823697,-13.6111111111111,100,360
"7",30.1951407974491,29.8731112838582,0.687853624036679,5.125,100,360
"8",30.3708559130112,34.2210948587758,0.658095792127206,3.16666666666667,100,360
"9",32.4335859873681,33.8788691927251,0.632341613710764,-1.16666666666667,100,360
"10",32.6522608541719,32.3318298619522,0.884051407267381,-2.04166666666667,100,360
"11",31.0711548975359,30.4665116699194,0.682364061543841,-0.597222222222222,100,360
"12",31.2202636297503,34.6574506980662,0.704514256579205,0.777777777777778,100,360
"13",31.3491205795491,33.2757836538492,0.704589757221336,4.38888888888889,100,360
"14",31.8708875342721,38.5922415922049,0.778453850676073,-0.833333333333333,100,360
"15",31.516089365416,32.2126183005632,0.705513500690131,4.34722222222222,100,360
"16",30.9019506755731,32.8208521116277,0.751604272137845,1.34722222222222,100,360
"17",32.6924324406871,30.0192068146008,0.728386778603542,-3.76388888888889,100,360
"18",30.2328348911503,31.8126023246553,0.689857831117994,3.01388888888889,100,360
"19",29.3987197378087,34.3294900761559,0.657057722616233,2.54166666666667,100,360
"20",30.2262877678061,33.9208637861715,0.719691898908766,1.98611111111111,100,360
"21",32.1081073181768,33.8444152622622,0.76001162063109,1.08333333333333,100,360
"22",31.4685138052484,27.874221463966,0.630112912437942,-2.44444444444444,100,360
"23",29.9045356091681,33.0825986484335,0.649442435201929,3.06944444444444,100,360
"24",32.0734292072287,34.1617882696117,0.775638399563021,-2.13888888888889,100,360
"25",30.8799197609781,32.902212016148,0.790184272942894,2.80555555555556,100,360
"26",31.8893486223152,33.797394705641,0.760379537953795,2.68055555555556,100,360
"27",32.6843064618004,37.6146395850221,0.687604111288322,-5.08333333333333,100,360
"28",30.7280296399811,31.468458635416,0.672123726520216,-2.125,100,360
"29",32.085930630799,35.6280944075193,0.707520710278985,-3.75,100,360
"30",31.3249102153542,30.8164368118343,0.687798194713088,-5.95833333333333,100,360
"31",32.9279516520539,33.458307388948,0.739957995609591,3.73611111111111,100,360
"32",32.0463531466531,31.7008587335492,0.782776103697326,1.72222222222222,100,360
"33",31.6729160500121,30.1581479684826,0.699497515808492,4.06944444444444,100,360
"34",30.2211179843205,27.4663936070569,0.643763102725367,-1.18055555555556,100,360
"35",32.8045029937456,34.4177764147153,0.678060163940856,4.66666666666667,100,360
"36",31.5570471087239,33.5445392144699,0.664988525530694,4.625,100,360
"37",33.3488505549042,30.2792558252896,0.652123995407578,3.13888888888889,100,360
"38",31.0795909275238,37.6533899905145,0.812227882270986,-0.138888888888889,100,360
"39",34.6384600793203,30.5279926187972,0.665686072116708,-4.01388888888889,100,360
"40",29.4533529500463,33.1090370342197,0.72121982074703,3.18055555555556,100,360
"41",31.0286605862673,35.3924426961463,0.707642368567565,7.73611111111111,100,360
"42",31.968951951681,36.3566438984067,0.719666968394056,-2.97222222222222,100,360
"43",31.5728874546219,33.1469790813917,0.711982736735212,-2.44444444444444,100,360
"44",32.2346001129911,35.1911447194698,0.733335344758227,-3.66666666666667,100,360
"45",32.2314761615964,29.8524147543656,0.725940225940226,5.25,100,360
"46",33.4077294782044,34.3294900761559,0.695972425276153,7.125,100,360
"47",29.7493580696383,30.5157063384306,0.772439197803275,-6.43055555555556,100,360
"48",31.2022412834577,32.5761927384606,0.763703339882122,-2.34722222222222,100,360
"49",29.7663937090882,32.5972902759314,0.757471504031137,10.7777777777778,100,360
"50",31.0999173810978,33.8835833734011,0.72037699159453,-2.29166666666667,100,360
"51",32.0505785179197,31.6833289496753,0.754367008824059,5.61111111111111,100,360
"52",32.752332402102,33.1800642956982,0.630707243079257,-1.88888888888889,100,360
"53",32.4480353796651,32.1703365782137,0.770574254302965,-2.98611111111111,100,360
"54",33.0407471498788,34.3442539266437,0.715265045023021,4.75,100,360
"55",33.3167667165415,30.1645947723118,0.742094651952462,-5.23611111111111,100,360
