"","rmse_train","rmse_test","mase_test","bias_test","theta","n"
"1",105.995823424007,124.788988563361,0.77033817195725,-36.875,5,240
"2",122.962562053117,124.847990906275,0.733594730995847,-36.2708333333333,5,240
"3",123.164989275903,110.48086184192,0.701415423338185,8.39583333333333,5,240
"4",114.585121198173,113.532484338184,0.738748511145142,4.125,5,240
"5",130.167460251529,128.630770035789,0.670511945392491,33.4583333333333,5,240
"6",111.254143181277,124.063071997002,0.757374479851073,27.7291666666667,5,240
"7",131.199136969977,109.00401368757,0.709526463191587,-33.1666666666667,5,240
"8",123.337253597605,122.464365565389,0.702188359866352,-15.3958333333333,5,240
"9",119.563507357666,105.161780129475,0.876705344585091,-22.0416666666667,5,240
"10",131.170094724369,124.921975648802,0.78071223709369,12.7916666666667,5,240
"11",140.754995470854,139.536584211214,0.760033050047214,-20.5416666666667,5,240
"12",116.070201458715,132.149615335548,0.683650061908552,-33.6041666666667,5,240
"13",118.763683422164,119.227111709823,0.64808869056257,-4.1875,5,240
"14",123.371601608042,128.998627253678,0.812847336854848,27.0208333333333,5,240
"15",122.01980713529,151.61052074312,0.614790040876997,26.375,5,240
"16",129.056128777366,135.953653254826,0.6860106152513,9.77083333333333,5,240
"17",126.269078591448,128.318370339818,0.719809375632463,31.3958333333333,5,240
"18",124.602200355103,119.559957064785,0.66848633392751,6.625,5,240
"19",114.681420138573,135.515835483041,0.706006157694713,22.5,5,240
"20",119.96516421445,130.31540264553,0.719154199781829,21.1458333333333,5,240
"21",114.230783394845,138.110915571507,0.901189799014031,28.7083333333333,5,240
"22",115.280093684903,116.193713972257,0.779450943620885,-11.8125,5,240
"23",123.775712816907,127.801359538934,0.65853306774643,-17.2291666666667,5,240
"24",123.442399691786,129.319372098692,0.816939778216952,-15.7916666666667,5,240
"25",126.23114545679,160.370729353375,0.679673545739802,46.5208333333333,5,240
"26",130.726794467189,157.827635412814,0.729351106639839,-21.6875,5,240
"27",117.41632659047,107.729309691776,0.674393975839213,-8.4375,5,240
"28",126.336397830026,102.073502928037,0.645180843174169,-20.375,5,240
"29",116.574144860685,149.117263699859,0.79458408138839,23.75,5,240
"30",123.476127922229,131.97071960603,0.668385754512998,-20.4791666666667,5,240
"31",115.610021552344,154.340870046358,0.653443398112604,0.145833333333333,5,240
"32",110.818897869452,134.895407013483,0.756398372277412,-11.1875,5,240
"33",118.404761306292,111.832743416229,0.709085426717684,-25.0208333333333,5,240
"34",129.673729188555,153.418341471937,0.7679144235083,18.6458333333333,5,240
"35",135.025190550998,147.060007593272,0.709899032806169,1.39583333333333,5,240
"36",121.421099209871,109.742786399228,0.733183992864093,-27.3541666666667,5,240
"37",122.235599015453,123.244337260041,0.686493989405053,10.5833333333333,5,240
"38",134.128941383531,103.936478998794,0.695067555863503,-35.8333333333333,5,240
"39",123.069170929739,129.97772245017,0.826278047652093,-31.7083333333333,5,240
"40",115.196729373422,144.092635134486,0.660854744196529,25.8125,5,240
"41",111.23827185371,119.794528951312,0.868937548860425,29.3541666666667,5,240
"42",123.437885020497,120.846838325764,0.799562068384706,-30.2916666666667,5,240
"43",101.909120053114,125.584632817873,0.725813821379174,29.125,5,240
"44",120.941682744205,140.114908200377,0.711730297020352,9.02083333333333,5,240
"45",118.245331126998,107.167023068355,0.721210456942004,-9.6875,5,240
"46",140.505968141333,148.262295723941,0.64421488607103,15.125,5,240
"47",123.724366031918,124.401734982542,0.751810995427753,-9.16666666666667,5,240
