month,year,count,mean_brightness,mean_bright31,mean_frp,mean_max_temp,mean_min_temp,mean_rainfall,anomaly,average_temp
11,2000,72,326.61249999999995,299.61249999999995,30.049999999999997,31.843265564130995,21.755311300609733,76.34276941587056,10.087954263521262,26.799288432370364
12,2000,39,318.95384615384614,297.9769230769231,20.2,28.704292162534774,18.38879813707818,53.20071198852029,10.315494025456594,23.546545149806477
1,2001,45,319.4511111111111,298.79333333333335,19.522222222222222,27.259316002450337,20.066760267530167,41.98854185259619,7.19255573492017,23.663038134990252
2,2001,175,322.93542857142853,301.416,21.372571428571426,29.46356712385665,18.195270538330078,155.57633016288625,11.26829658552657,23.829418831093363
3,2001,166,325.7789156626506,300.2674698795181,32.49096385542169,28.53882570793292,17.586203425018873,95.6817665385163,10.952622282914046,23.062514566475897
4,2001,47,324.07234042553193,299.23617021276596,41.02978723404256,32.47513996471058,20.180187950963553,33.73175771858381,12.294952013747025,26.327663957837068
5,2001,70,326.95714285714286,301.9714285714286,37.50714285714286,31.24676380157472,19.13655304908752,26.190867647102912,12.110210752487198,25.19165842533112
6,2001,16,318.03125,293.90625,30.91875,29.923698561532156,17.319198608398445,33.29362407752446,12.604499953133711,23.6214485849653
7,2001,32,321.7,298.465625,22.9625,27.830614328384403,15.911416351795205,56.50327494740486,11.919197976589198,21.871015340089805
8,2001,393,324.2854961832061,298.0328244274809,39.53282442748092,27.09542742722702,15.331752174368582,63.38494750888266,11.763675252858437,21.2135898007978
9,2001,603,325.43930348258704,299.9194029850746,39.27213930348258,27.329243119585282,16.00344350635486,27.897472554297572,11.325799613230423,21.66634331297007
10,2001,188,327.59840425531917,300.0037234042553,41.655851063829786,28.81699361083328,19.215680106826447,11.880624010187125,9.601313504006832,24.016336858829863
11,2001,52,324.3403846153846,300.86538461538464,35.00961538461539,32.818001688743124,21.847964380301683,68.96695659674847,10.97003730844144,27.332983034522403
12,2001,105,322.46190476190475,297.7047619047619,32.843809523809526,28.19605247341857,16.457804670520854,127.88930661070573,11.738247802897714,22.32692857196971
1,2002,240,319.39124999999996,296.915,22.025,27.93920123028147,18.037008716648202,45.64058834365585,9.902192513633267,22.988104973464836
2,2002,618,322.8883495145631,299.50194174757286,23.88155339805825,26.3511859343899,13.93037899653315,117.59735006303139,12.42080693785675,20.140782465461527
3,2002,159,324.27169811320755,299.0566037735849,35.35094339622642,29.231403650492748,18.154242370849012,49.04130123514482,11.077161279643736,23.692823010670878
4,2002,318,322.0301886792453,297.37264150943395,49.095283018867924,25.497609618111404,15.281258017982132,141.55293368921778,10.216351600129272,20.38943381804677
5,2002,57,322.23157894736846,299.521052631579,28.910526315789475,29.664072749862104,18.548734875472455,119.10974320758633,11.115337874389649,24.10640381266728
6,2002,23,315.2217391304348,294.45217391304345,15.608695652173912,25.8396174389383,14.254996113155197,69.05139342598292,11.584621325783104,20.04730677604675
7,2002,726,324.74214876033056,299.66322314049586,32.913223140495866,26.15530565281212,14.76937757349654,44.98513099918686,11.385928079315581,20.46234161315433
8,2002,176,323.0511363636364,298.49886363636364,24.535227272727273,28.44605477834713,18.681375004779333,109.86179822066734,9.764679773567796,23.56371489156323
9,2002,908,333.0704845814978,305.67433920704843,42.72444933920705,25.77538314086712,17.398393644695787,217.7309721595141,8.376989496171333,21.586888392781454
10,2002,1209,331.2870967741935,303.2136476426799,37.3818858560794,29.660803482825024,18.24185314780137,68.60429701296411,11.418950335023656,23.951328315313198
11,2002,189,324.2444444444444,297.084126984127,31.615873015873014,29.099118291325134,17.779760097168968,71.4806507603423,11.319358194156166,23.43943919424705
12,2002,147,325.6877551020408,300.55510204081634,25.989795918367346,29.137952659377323,17.311247082173665,168.0435342126309,11.826705577203658,23.224599870775492
1,2003,317,326.33785488958995,304.22965299684546,26.77570977917981,27.957753368512606,18.99996848581688,14.65935956147706,8.957784882695726,23.478860927164742
2,2003,972,329.2990740740741,303.76851851851853,38.52777777777778,27.087407664353936,17.5351499000101,208.70588670301186,9.552257764343835,22.31127878218202
