latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,month
3.9329,41.5228,319.7,1.6,1.3,2020-11-01,805,Terra,MODIS,39,6.03,299.8,23.8,D,0,2020,11
-1.4795,41.1838,316.7,1.9,1.3,2020-11-01,806,Terra,MODIS,38,6.03,299.5,26.2,D,0,2020,11
-2.2677,36.2533,340.9,1.0,1.0,2020-11-01,806,Terra,MODIS,73,6.03,311.9,26.7,D,0,2020,11
-2.8361,38.0094,323.0,1.2,1.1,2020-11-01,806,Terra,MODIS,58,6.03,303.4,19.7,D,0,2020,11
-2.954,37.4881,334.7,1.0,1.0,2020-11-01,1101,Aqua,MODIS,82,6.03,305.3,31.2,D,0,2020,11
-1.9304,36.0273,331.4,1.2,1.1,2020-11-01,1102,Aqua,MODIS,70,6.03,307.3,22.4,D,0,2020,11
-1.5352,36.9886,324.1,1.1,1.0,2020-11-01,1102,Aqua,MODIS,30,6.03,308.2,11.1,D,0,2020,11
-2.2037,36.4179,336.3,1.1,1.1,2020-11-01,1102,Aqua,MODIS,83,6.03,311.7,26.0,D,0,2020,11
-2.2051,36.4077,350.0,1.1,1.1,2020-11-01,1102,Aqua,MODIS,94,6.03,312.6,56.1,D,0,2020,11
-1.9401,36.0287,338.4,1.2,1.1,2020-11-01,1102,Aqua,MODIS,85,6.03,307.0,36.6,D,0,2020,11
-1.9289,36.0376,328.3,1.2,1.1,2020-11-01,1102,Aqua,MODIS,40,6.03,306.7,14.7,D,0,2020,11
-1.1917,36.5528,325.0,1.1,1.0,2020-11-01,1102,Aqua,MODIS,35,6.03,310.5,10.3,D,0,2020,11
-2.2501,36.2618,305.7,1.8,1.3,2020-11-01,2027,Terra,MODIS,65,6.03,293.9,10.6,N,0,2020,11
2.1646,36.4615,334.1,2.8,1.6,2020-11-04,836,Terra,MODIS,84,6.03,306.5,66.9,D,0,2020,11
2.1542,36.4339,331.0,2.8,1.6,2020-11-04,836,Terra,MODIS,44,6.03,306.2,65.6,D,0,2020,11
2.1478,36.4534,333.3,2.8,1.6,2020-11-04,836,Terra,MODIS,80,6.03,307.6,70.7,D,0,2020,11
2.1334,36.4514,332.8,2.8,1.6,2020-11-04,836,Terra,MODIS,46,6.03,306.9,70.1,D,0,2020,11
2.0593,36.4335,330.6,2.8,1.6,2020-11-04,836,Terra,MODIS,36,6.03,303.7,45.6,D,0,2020,11
2.0616,36.4405,330.7,2.8,1.6,2020-11-04,836,Terra,MODIS,43,6.03,303.4,45.8,D,0,2020,11
-2.0851,36.0062,364.2,1.8,1.3,2020-11-04,1132,Aqua,MODIS,100,6.03,300.7,192.7,D,0,2020,11
-1.1813,36.5581,321.2,2.0,1.4,2020-11-04,1133,Aqua,MODIS,65,6.03,297.0,27.9,D,0,2020,11
-2.0166,40.7675,329.0,1.0,1.0,2020-11-05,742,Terra,MODIS,53,6.03,294.2,19.5,D,0,2020,11
-2.018,40.7766,325.7,1.0,1.0,2020-11-05,742,Terra,MODIS,47,6.03,298.0,14.0,D,0,2020,11
2.053,36.4376,336.1,1.6,1.3,2020-11-06,824,Terra,MODIS,40,6.03,311.0,33.9,D,0,2020,11
2.1435,36.4485,336.8,1.6,1.3,2020-11-06,824,Terra,MODIS,64,6.03,309.5,35.7,D,0,2020,11
