latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,month
0.7509,35.2504,321.8,2.5,1.5,2018-02-01,741,Terra,MODIS,67,6.03,299.6,37.1,D,0,2018,2
0.7444,35.2426,319.4,2.5,1.5,2018-02-01,741,Terra,MODIS,62,6.03,300.1,29.0,D,0,2018,2
-2.3974,38.0483,331.3,2.4,1.5,2018-02-01,1038,Aqua,MODIS,80,6.03,300.0,65.2,D,0,2018,2
0.0546,36.3255,321.4,3.0,1.7,2018-02-01,1038,Aqua,MODIS,55,6.03,302.8,51.5,D,0,2018,2
-1.5555,40.9894,321.3,1.4,1.2,2018-02-01,1038,Aqua,MODIS,66,6.03,301.7,20.3,D,0,2018,2
-2.4019,38.0424,342.1,2.4,1.5,2018-02-01,1038,Aqua,MODIS,90,6.03,299.7,125.9,D,0,2018,2
-2.4003,38.0272,329.4,2.4,1.5,2018-02-01,1038,Aqua,MODIS,75,6.03,302.1,57.8,D,0,2018,2
-1.3002,36.8802,300.9,1.0,1.0,2018-02-01,2003,Terra,MODIS,35,6.03,289.3,5.0,N,2,2018,2
-0.0282,35.224,311.9,1.4,1.2,2018-02-01,2300,Aqua,MODIS,84,6.03,290.0,19.4,N,0,2018,2
4.1143,34.0854,325.3,1.1,1.0,2018-02-02,823,Terra,MODIS,55,6.03,309.2,10.2,D,0,2018,2
0.8742,34.5939,323.7,1.3,1.1,2018-02-02,824,Terra,MODIS,54,6.03,303.9,15.7,D,0,2018,2
1.1452,34.8333,323.8,1.3,1.1,2018-02-02,824,Terra,MODIS,24,6.03,307.3,8.1,D,0,2018,2
1.0154,34.9572,323.5,1.3,1.1,2018-02-02,824,Terra,MODIS,56,6.03,306.7,12.9,D,0,2018,2
0.8799,35.0403,324.4,1.4,1.2,2018-02-02,824,Terra,MODIS,69,6.03,309.9,12.9,D,0,2018,2
1.1352,34.8372,327.2,1.3,1.1,2018-02-02,824,Terra,MODIS,64,6.03,309.4,15.5,D,0,2018,2
-0.4385,35.8117,321.3,1.1,1.1,2018-02-02,1121,Aqua,MODIS,42,6.03,302.8,13.8,D,0,2018,2
-0.4399,35.8016,330.8,1.1,1.1,2018-02-02,1121,Aqua,MODIS,77,6.03,302.6,26.1,D,0,2018,2
-0.2785,35.9514,336.2,1.2,1.1,2018-02-02,1121,Aqua,MODIS,82,6.03,313.9,19.7,D,0,2018,2
0.6028,35.1103,330.2,1.1,1.0,2018-02-02,1121,Aqua,MODIS,66,6.03,315.3,9.4,D,0,2018,2
0.0203,37.3967,329.0,2.9,1.6,2018-02-03,729,Terra,MODIS,80,6.03,297.9,105.7,D,0,2018,2
0.0166,37.4214,321.5,2.9,1.6,2018-02-03,729,Terra,MODIS,57,6.03,297.2,68.8,D,0,2018,2
0.0056,37.3956,318.7,2.9,1.6,2018-02-03,729,Terra,MODIS,49,6.03,299.3,49.8,D,0,2018,2
-3.4965,38.4313,328.2,2.1,1.4,2018-02-03,730,Terra,MODIS,78,6.03,305.0,36.7,D,0,2018,2
-3.4973,38.4253,324.9,2.1,1.4,2018-02-03,730,Terra,MODIS,65,6.03,304.7,28.9,D,0,2018,2
-1.7884,40.6806,316.4,2.5,1.5,2018-02-03,1025,Aqua,MODIS,45,6.03,296.6,35.2,D,0,2018,2
0.0077,37.3964,327.2,4.4,1.9,2018-02-03,1026,Aqua,MODIS,61,6.03,298.2,189.0,D,0,2018,2
0.005,37.4037,325.1,4.4,1.9,2018-02-03,1026,Aqua,MODIS,53,6.03,297.7,167.8,D,0,2018,2
-0.2995,34.7629,306.4,1.8,1.3,2018-02-03,1951,Terra,MODIS,68,6.03,294.0,15.5,N,0,2018,2
0.0175,37.4243,300.2,1.2,1.1,2018-02-03,1951,Terra,MODIS,22,6.03,275.2,10.1,N,0,2018,2
0.0161,37.4143,332.7,1.2,1.1,2018-02-03,1951,Terra,MODIS,100,6.03,277.8,46.6,N,0,2018,2
0.0499,34.0849,302.6,3.0,1.6,2018-02-03,2247,Aqua,MODIS,49,6.03,287.8,29.1,N,0,2018,2
0.0444,34.1058,302.5,3.0,1.6,2018-02-03,2247,Aqua,MODIS,49,6.03,287.7,30.8,N,0,2018,2
0.0201,37.4204,314.1,1.6,1.3,2018-02-03,2247,Aqua,MODIS,88,6.03,274.7,36.5,N,0,2018,2
0.9185,35.2622,323.6,1.0,1.0,2018-02-04,812,Terra,MODIS,63,6.03,308.5,8.4,D,0,2018,2
-0.4332,35.8111,329.6,1.1,1.0,2018-02-04,812,Terra,MODIS,70,6.03,300.0,24.5,D,0,2018,2
0.8527,35.3351,321.5,1.0,1.0,2018-02-04,812,Terra,MODIS,56,6.03,308.3,6.9,D,0,2018,2
-0.0555,34.1863,330.2,1.0,1.0,2018-02-04,812,Terra,MODIS,74,6.03,312.4,11.6,D,0,2018,2
0.7273,35.4334,320.5,1.0,1.0,2018-02-04,812,Terra,MODIS,29,6.03,306.8,7.2,D,0,2018,2
-0.0635,34.9263,327.5,1.0,1.0,2018-02-04,812,Terra,MODIS,60,6.03,309.7,10.2,D,0,2018,2
0.619,35.1093,327.0,1.0,1.0,2018-02-04,812,Terra,MODIS,69,6.03,312.1,11.3,D,0,2018,2
-0.3239,35.8113,327.7,1.1,1.0,2018-02-04,812,Terra,MODIS,75,6.03,310.5,14.1,D,0,2018,2
0.696,35.2729,332.0,1.0,1.0,2018-02-04,812,Terra,MODIS,78,6.03,309.0,18.9,D,0,2018,2
0.687,35.2716,339.9,1.0,1.0,2018-02-04,812,Terra,MODIS,86,6.03,309.4,31.2,D,0,2018,2
-0.0475,35.6922,320.3,1.0,1.0,2018-02-04,812,Terra,MODIS,47,6.03,306.1,9.2,D,0,2018,2
-4.1647,39.6206,330.1,1.1,1.1,2018-02-04,1108,Aqua,MODIS,49,6.03,305.6,14.2,D,0,2018,2
-3.6421,39.7197,327.5,1.1,1.1,2018-02-04,1108,Aqua,MODIS,29,6.03,305.7,13.2,D,0,2018,2
-3.5017,38.4229,338.8,1.0,1.0,2018-02-04,1108,Aqua,MODIS,64,6.03,315.5,20.5,D,0,2018,2
-2.3019,40.6317,328.9,1.3,1.2,2018-02-04,1108,Aqua,MODIS,71,6.03,306.2,13.6,D,0,2018,2
-4.1661,39.6106,333.1,1.1,1.1,2018-02-04,1108,Aqua,MODIS,70,6.03,305.7,18.6,D,0,2018,2
-0.4342,35.8125,319.6,1.0,1.0,2018-02-04,1109,Aqua,MODIS,21,6.03,301.9,10.4,D,0,2018,2
-0.33,36.2222,329.0,1.0,1.0,2018-02-04,1109,Aqua,MODIS,53,6.03,309.1,10.3,D,0,2018,2
0.4463,35.4128,327.0,1.0,1.0,2018-02-04,1109,Aqua,MODIS,61,6.03,311.4,7.7,D,0,2018,2
0.1865,35.7168,338.0,1.0,1.0,2018-02-04,1109,Aqua,MODIS,82,6.03,300.6,35.6,D,0,2018,2
-0.0476,35.6888,349.1,1.0,1.0,2018-02-04,1109,Aqua,MODIS,92,6.03,313.6,48.9,D,0,2018,2
-0.0463,35.6979,327.4,1.0,1.0,2018-02-04,1109,Aqua,MODIS,44,6.03,308.0,13.4,D,0,2018,2
-0.5418,37.8846,333.1,1.0,1.0,2018-02-04,1109,Aqua,MODIS,75,6.03,315.1,10.5,D,0,2018,2
-0.4355,35.8034,330.1,1.0,1.0,2018-02-04,1109,Aqua,MODIS,77,6.03,303.7,22.9,D,0,2018,2
4.6954,35.04,326.7,4.4,1.9,2018-02-05,1153,Aqua,MODIS,45,6.03,302.5,63.2,D,0,2018,2
4.6979,35.0319,331.9,4.4,1.9,2018-02-05,1153,Aqua,MODIS,69,6.03,302.3,122.5,D,0,2018,2
0.6103,34.1635,326.6,1.4,1.2,2018-02-06,800,Terra,MODIS,58,6.03,305.8,11.4,D,0,2018,2
-1.9412,40.9153,324.3,1.4,1.2,2018-02-06,800,Terra,MODIS,33,6.03,301.6,17.1,D,0,2018,2
-1.948,40.9213,343.4,1.4,1.2,2018-02-06,800,Terra,MODIS,90,6.03,302.1,62.0,D,0,2018,2
0.5475,35.1988,323.5,1.2,1.1,2018-02-06,800,Terra,MODIS,62,6.03,304.5,10.1,D,0,2018,2
-1.943,40.9279,341.9,1.4,1.2,2018-02-06,800,Terra,MODIS,88,6.03,303.1,57.7,D,0,2018,2
0.7738,35.2709,320.9,1.2,1.1,2018-02-06,800,Terra,MODIS,50,6.03,303.1,7.5,D,0,2018,2
-2.1421,40.854,333.5,1.0,1.0,2018-02-06,1056,Aqua,MODIS,74,6.03,304.3,16.7,D,0,2018,2
-2.3451,40.5933,326.2,1.0,1.0,2018-02-06,1056,Aqua,MODIS,38,6.03,304.1,6.1,D,0,2018,2
-2.2678,40.9399,324.0,1.0,1.0,2018-02-06,1056,Aqua,MODIS,55,6.03,299.6,11.6,D,0,2018,2
-2.3621,40.6653,325.9,1.0,1.0,2018-02-06,1056,Aqua,MODIS,62,6.03,304.8,7.0,D,0,2018,2
-1.4475,41.2035,347.2,1.0,1.0,2018-02-06,1056,Aqua,MODIS,91,6.03,305.9,46.1,D,0,2018,2
-1.4462,41.2128,334.7,1.0,1.0,2018-02-06,1056,Aqua,MODIS,62,6.03,306.7,23.5,D,0,2018,2
0.0407,34.0941,306.0,1.0,1.0,2018-02-06,2318,Aqua,MODIS,67,6.03,289.0,7.3,N,0,2018,2
0.0318,34.0928,304.9,1.0,1.0,2018-02-06,2318,Aqua,MODIS,62,6.03,288.7,6.4,N,0,2018,2
-0.2618,35.9143,322.9,3.8,1.8,2018-02-07,843,Terra,MODIS,76,6.03,302.4,73.8,D,0,2018,2
-0.2706,35.9197,322.3,3.8,1.8,2018-02-07,843,Terra,MODIS,75,6.03,301.4,66.5,D,0,2018,2
1.0458,34.8862,335.7,2.1,1.4,2018-02-07,1140,Aqua,MODIS,81,6.03,313.2,58.4,D,0,2018,2
