latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,month
-2.421,38.0615,337.3,1.3,1.1,2008-09-01,742,Terra,MODIS,85,6.2,304.1,37.9,D,0,2008,9
-1.4895,40.9159,318.2,1.0,1.0,2008-09-01,742,Terra,MODIS,52,6.2,300.5,9.7,D,0,2008,9
-2.4192,38.0495,332.2,1.3,1.1,2008-09-01,742,Terra,MODIS,80,6.2,301.4,28.0,D,0,2008,9
-0.0157,37.4798,318.7,1.6,1.2,2008-09-01,742,Terra,MODIS,23,6.2,297.4,24.9,D,0,2008,9
-1.5493,38.8322,325.6,2.0,1.4,2008-09-01,1039,Aqua,MODIS,66,6.2,299.9,23.7,D,0,2008,9
-0.5892,38.5051,323.9,2.0,1.4,2008-09-01,1039,Aqua,MODIS,57,6.2,304.7,22.1,D,0,2008,9
-0.6389,38.5119,327.1,2.0,1.4,2008-09-01,1039,Aqua,MODIS,72,6.2,306.6,28.1,D,0,2008,9
-1.5468,38.8498,345.6,2.0,1.4,2008-09-01,1039,Aqua,MODIS,91,6.2,304.0,105.4,D,0,2008,9
-1.559,38.8515,335.3,2.0,1.4,2008-09-01,1039,Aqua,MODIS,83,6.2,298.8,59.9,D,0,2008,9
-3.3602,38.3849,306.8,1.0,1.0,2008-09-01,2301,Aqua,MODIS,69,6.2,286.8,9.2,N,0,2008,9
0.1621,38.0492,318.8,2.4,1.5,2008-09-02,824,Terra,MODIS,51,6.2,300.6,21.1,D,0,2008,9
-2.6216,37.8867,324.6,2.6,1.5,2008-09-02,825,Terra,MODIS,68,6.2,302.7,43.2,D,0,2008,9
-2.3924,38.0579,340.9,2.7,1.6,2008-09-02,825,Terra,MODIS,88,6.2,305.1,130.0,D,0,2008,9
0.1669,38.0429,320.8,2.4,1.5,2008-09-02,825,Terra,MODIS,62,6.2,301.7,27.5,D,0,2008,9
-0.3932,38.0879,325.9,2.5,1.5,2008-09-02,825,Terra,MODIS,77,6.2,304.8,35.4,D,0,2008,9
-2.608,37.8901,326.6,2.6,1.5,2008-09-02,825,Terra,MODIS,58,6.2,303.3,47.2,D,0,2008,9
-2.6041,37.8627,330.9,2.6,1.5,2008-09-02,825,Terra,MODIS,78,6.2,301.8,71.3,D,0,2008,9
-2.5771,37.8706,325.9,2.6,1.5,2008-09-02,825,Terra,MODIS,55,6.2,304.3,56.2,D,0,2008,9
-2.5717,37.8797,328.6,2.6,1.5,2008-09-02,825,Terra,MODIS,56,6.2,304.1,68.6,D,0,2008,9
-2.3843,38.0419,335.3,2.6,1.6,2008-09-02,825,Terra,MODIS,83,6.2,304.8,91.9,D,0,2008,9
-2.3877,38.0656,332.7,2.7,1.6,2008-09-02,825,Terra,MODIS,81,6.2,304.8,76.5,D,0,2008,9
-2.3891,38.0341,324.4,2.6,1.6,2008-09-02,825,Terra,MODIS,64,6.2,305.1,37.2,D,0,2008,9
-0.3871,38.0821,325.5,2.5,1.5,2008-09-02,825,Terra,MODIS,77,6.2,304.3,33.8,D,0,2008,9
-2.3994,38.05,332.8,1.5,1.2,2008-09-02,1121,Aqua,MODIS,76,6.2,309.1,25.9,D,0,2008,9
-2.3967,38.0294,326.5,1.5,1.2,2008-09-02,1121,Aqua,MODIS,48,6.2,308.0,12.2,D,0,2008,9
-2.3947,38.0426,376.7,1.5,1.2,2008-09-02,1121,Aqua,MODIS,100,6.2,310.3,216.3,D,0,2008,9
-2.4013,38.0368,327.5,1.5,1.2,2008-09-02,1121,Aqua,MODIS,65,6.2,306.1,14.8,D,0,2008,9
-2.3887,38.0484,353.2,1.5,1.2,2008-09-02,1121,Aqua,MODIS,96,6.2,306.6,91.5,D,0,2008,9
-2.3927,38.0557,328.3,1.5,1.2,2008-09-02,1121,Aqua,MODIS,50,6.2,309.4,15.0,D,0,2008,9
-2.3906,38.0352,356.0,1.5,1.2,2008-09-02,1121,Aqua,MODIS,97,6.2,307.9,103.7,D,0,2008,9
-2.3979,38.0265,340.6,2.3,1.5,2008-09-03,730,Terra,MODIS,90,6.2,290.5,121.3,D,0,2008,9
-0.4104,40.3003,326.7,2.6,1.5,2008-09-03,1027,Aqua,MODIS,59,6.2,298.4,50.1,D,0,2008,9
-0.4072,40.323,324.2,2.5,1.5,2008-09-03,1027,Aqua,MODIS,56,6.2,299.7,39.0,D,0,2008,9
2.13,36.4385,332.5,4.7,2.0,2008-09-03,1028,Aqua,MODIS,66,6.2,307.1,114.4,D,0,2008,9
2.1478,36.4432,332.4,4.7,2.0,2008-09-03,1028,Aqua,MODIS,68,6.2,306.9,110.8,D,0,2008,9
-0.4257,37.7766,325.4,1.4,1.2,2008-09-04,812,Terra,MODIS,77,6.2,305.9,11.4,D,0,2008,9
-0.5566,38.5903,319.0,1.6,1.2,2008-09-04,812,Terra,MODIS,66,6.2,300.0,11.9,D,0,2008,9
-0.7274,38.1762,322.7,1.5,1.2,2008-09-04,812,Terra,MODIS,72,6.2,303.3,12.8,D,0,2008,9
-2.3969,38.0611,336.6,1.5,1.2,2008-09-04,813,Terra,MODIS,87,6.2,290.0,46.9,D,0,2008,9
-2.3949,38.0476,381.5,1.5,1.2,2008-09-04,813,Terra,MODIS,100,6.2,294.8,272.4,D,0,2008,9
-2.393,38.034,340.0,1.5,1.2,2008-09-04,813,Terra,MODIS,89,6.2,289.0,59.3,D,0,2008,9
-0.4418,34.0168,317.6,1.0,1.0,2008-09-04,813,Terra,MODIS,59,6.2,301.9,6.9,D,0,2008,9
-2.4078,38.0595,328.0,1.5,1.2,2008-09-04,813,Terra,MODIS,39,6.2,288.8,25.2,D,0,2008,9
-0.4405,34.0079,324.0,1.0,1.0,2008-09-04,813,Terra,MODIS,0,6.2,299.7,13.3,D,0,2008,9
-2.4058,38.046,335.3,1.5,1.2,2008-09-04,813,Terra,MODIS,77,6.2,288.5,43.7,D,0,2008,9
-2.3922,38.0458,330.6,1.0,1.0,2008-09-04,1109,Aqua,MODIS,52,6.2,302.0,16.2,D,0,2008,9
-2.3949,38.0276,332.4,1.0,1.0,2008-09-04,1109,Aqua,MODIS,62,6.2,302.5,18.8,D,0,2008,9
-2.3936,38.0367,377.5,1.0,1.0,2008-09-04,1109,Aqua,MODIS,100,6.2,312.4,134.2,D,0,2008,9
0.286,37.7926,338.0,1.0,1.0,2008-09-04,1110,Aqua,MODIS,82,6.2,315.0,19.7,D,0,2008,9
