latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,month
-2.5901,37.0265,320.0,2.8,1.6,2018-08-02,1139,Aqua,MODIS,52,6.03,300.9,29.0,D,0,2018,8
-0.1671,35.126,313.3,1.8,1.3,2018-08-03,749,Terra,MODIS,46,6.03,298.5,10.0,D,0,2018,8
-2.4393,37.9964,323.5,1.8,1.3,2018-08-03,1044,Aqua,MODIS,71,6.03,300.4,26.8,D,0,2018,8
-3.4631,37.7272,300.5,1.1,1.1,2018-08-03,2010,Terra,MODIS,29,6.03,290.1,4.7,N,0,2018,8
0.5538,35.3081,300.4,1.1,1.1,2018-08-03,2306,Aqua,MODIS,26,6.03,283.7,8.0,N,0,2018,8
0.5524,35.318,306.8,1.1,1.1,2018-08-03,2306,Aqua,MODIS,69,6.03,283.8,12.3,N,0,2018,8
-0.8358,35.6715,311.4,1.1,1.0,2018-08-03,2307,Aqua,MODIS,82,6.03,282.5,14.7,N,0,2018,8
-0.7677,34.5085,316.0,1.8,1.3,2018-08-04,832,Terra,MODIS,70,6.03,296.5,15.1,D,0,2018,8
-0.9565,34.7863,318.0,1.2,1.1,2018-08-04,1128,Aqua,MODIS,68,6.03,300.0,12.3,D,0,2018,8
-0.9116,34.601,316.2,1.2,1.1,2018-08-04,1128,Aqua,MODIS,66,6.03,299.3,9.1,D,0,2018,8
-2.4396,38.0044,380.2,1.2,1.1,2018-08-08,808,Terra,MODIS,100,6.03,302.5,196.7,D,0,2018,8
-2.4282,37.9948,336.3,1.2,1.1,2018-08-08,808,Terra,MODIS,75,6.03,285.3,40.8,D,0,2018,8
-2.4298,38.0059,342.6,1.2,1.1,2018-08-08,808,Terra,MODIS,91,6.03,291.6,54.4,D,0,2018,8
-2.438,37.9934,363.2,1.2,1.1,2018-08-08,808,Terra,MODIS,100,6.03,291.8,116.7,D,0,2018,8
-4.388,39.1004,322.1,1.0,1.0,2018-08-08,1102,Aqua,MODIS,64,6.03,305.1,6.4,D,0,2018,8
-2.4374,37.9958,355.9,1.0,1.0,2018-08-08,1103,Aqua,MODIS,97,6.03,314.0,60.7,D,0,2018,8
-2.4362,38.0047,333.0,1.0,1.0,2018-08-08,1103,Aqua,MODIS,75,6.03,309.5,16.8,D,0,2018,8
-3.2444,37.7656,323.4,1.0,1.0,2018-08-10,756,Terra,MODIS,56,6.03,293.2,15.1,D,0,2018,8
-2.4819,37.5795,340.7,1.5,1.2,2018-08-10,1050,Aqua,MODIS,88,6.03,305.8,56.0,D,0,2018,8
