date,tmax_mean,tmax_std,tmax_min,tmax_max,tmax_count
2000-11,30.498457772801245,3.9661499456002764,8.994375,39.12182,27652
2000-12,29.918696499783017,4.020580821174413,8.174864,37.478474,27652
2001-08,28.855731874457543,3.607919688549831,8.216004,36.323708,27652
2001-09,30.6198937859106,3.6028374555597558,10.014129,38.32972,27652
2002-01,31.50278767924562,3.8853826565062075,10.4607115,38.7715,27652
2002-02,32.46922023736077,3.764008775564117,11.952101,39.53587,27652
2002-03,32.24480542801606,3.918556496952858,11.4874325,38.852226,27652
2002-04,30.65310540684218,3.8068179501477566,9.9125595,37.858215,27652
2002-05,30.50145996768769,3.85064799774078,10.183555,38.38273,27652
2002-07,28.941307463890496,3.7685987097440643,8.336236,37.021095,27652
2002-10,30.79818505583683,3.5969817550884917,9.955893,38.25011,27652
2002-11,30.379311880533052,3.745482316664911,9.037604,37.68169,27652
2002-12,30.932721185031824,3.9789002911634217,9.198822,38.478474,27652
2003-08,28.919729786760453,3.6872768707611456,7.856628,36.433674,27652
2003-09,30.02051479746492,3.6405225478134877,9.224024,37.52555,27652
2004-01,32.371692803124546,3.7798975166735693,11.335191,39.495457,27652
2004-02,32.738443269817736,3.9002650455508654,11.856268,39.73004,27652
2004-03,32.09077894716476,3.760853545943699,11.584309,38.538685,27652
2004-04,30.24805388601186,3.6708126935444056,9.842768,37.0886,27652
2004-05,30.358352153623606,3.815633972646509,9.711679,38.014847,27652
2004-06,29.137170816487057,3.887161563248132,8.963671,37.365314,27652
2004-07,28.77261194848474,3.7059255891108935,8.1044655,36.76276,27652
2004-10,29.722822890387675,3.706270587478968,8.894955,37.86911,27652
2004-11,30.012550542510485,3.699681497652343,8.906875,37.463463,27652
2004-12,30.38262365085708,3.9343053236075765,8.959761,37.87847,27652
2005-08,28.70450186864529,3.9694915504320027,7.477462,36.823708,27696
2005-09,30.215321168381717,3.803254195424951,9.232357,38.496387,27696
2006-01,32.21854032147242,3.591352719260722,11.270086,39.420975,27696
2006-02,33.49832306676055,3.6281586736267806,13.23283,39.994205,27696
2006-03,32.43727736180315,4.042718747081762,11.538475,39.310734,27696
2006-04,30.441320038543473,3.745720273849962,10.059435,37.621933,27696
2006-05,29.76667374499928,3.9061298711063257,9.326784,37.154686,27696
2006-06,29.395595903036536,3.871055180653745,9.427213,37.284412,27696
2006-07,28.40904718756499,3.895541035723568,7.5362363,36.74116,27696
2006-10,30.70908447385904,3.4968302953440107,9.728288,38.389942,27696
2006-11,29.679419779282206,3.973256436681859,8.036041,37.974403,27696
2006-12,29.670542833243065,4.106174168495976,7.804031,37.120487,27696
2007-08,28.72437475278741,3.786191926133729,7.7467337,36.277874,27696
2007-09,30.3349502362435,3.7573276590551252,9.344857,38.125553,27696
2008-01,32.192102973696564,3.8655601281709346,11.219045,40.408478,27696
2008-02,32.16229293026068,3.9527127371713076,11.641163,39.850876,27696
2008-03,31.63062171950823,3.7896613942811985,11.117642,38.238686,27696
2008-04,30.139125104022245,3.697289848064492,9.822976,37.174362,27696
2008-05,29.572798062590266,3.8534491603143866,9.104388,37.294014,27696
2008-06,28.583781996822644,4.10277636023767,8.176171,37.34743,27696
2008-07,28.32649343139804,3.7383453921123064,7.715402,36.24116,27696
2008-10,30.62813563337666,3.596955919357524,9.8657875,37.80584,27696
2008-11,29.971577889316144,3.690223489733594,8.996979,37.63432,27696
2008-12,30.618946783903812,3.655003908035547,9.530594,37.395485,27696
2009-08,29.693559974472848,3.811771154702183,8.734234,37.602875,27696
2009-09,30.988716245739457,3.75696669189061,10.072983,38.896385,27696
2010-01,32.22535695199262,3.758469425866087,11.4034195,39.259,27652
2010-02,32.444786743635184,3.7859371120635856,12.042726,38.40432,27652
2010-03,32.63781186858093,3.610805627986264,12.484308,38.938686,27652
2010-04,31.268979251536962,3.7767092622604648,10.671935,38.44867,27652
2010-05,30.144249828601907,3.8983584115719236,9.601784,38.21606,27652
2010-07,28.273816523289454,3.848508386790886,7.4664445,36.583874,27652
2010-10,31.348126107225518,3.512361799545054,10.743392,38.97866,27652
2010-11,30.52348740893968,3.6634565984553897,9.434999,38.107735,27652
2011-08,28.58756360098727,3.9389486869654213,7.2410045,36.577877,27652
2011-09,30.164783973039924,3.916207640376195,9.065691,38.171387,27652
2012-01,31.595024237089543,3.600255766177639,11.131545,38.259,27652
2012-02,32.78021188570447,3.930506734664176,12.189601,41.444206,27652
2012-04,30.70530273320194,3.7276829489965686,10.2636,37.510647,27652
2012-05,30.067591910910604,4.00837412161609,9.337722,37.897568,27652
2012-06,29.130528007883697,3.9542870857169925,8.855337,37.311146,27652
2012-07,28.439461794228265,3.7885212988019914,7.6305075,36.106686,27652
2012-10,31.127187874945754,3.5611791031631155,10.384017,38.67866,27652
2012-11,30.43354448320194,3.760055260953153,9.127708,37.899403,27652
2012-12,29.865886548260523,3.948495691179127,8.049865,36.699306,27652
2013-08,28.727389737270357,3.7989215050410903,7.559233,36.45704,27652
2013-09,30.81808354760958,3.6465069963473318,10.044858,38.271385,27652
2014-01,31.836863371202806,3.7899420037113374,11.054982,38.567852,27652
2014-02,32.707084886626646,3.8526676452326285,12.357831,38.856953,27652
2014-03,32.55785377388616,3.7848299550063174,12.235871,38.990246,27652
2014-04,30.45131983986692,3.816362813744791,9.932872,37.52218,27652
2014-05,30.421883823303922,3.7593111976516487,10.114284,37.918404,27652
2014-06,30.060603883534647,4.008224856006992,9.945442,38.520695,27652
2014-07,29.373206341476205,3.7814242719868294,8.746131,37.126076,27652
