"","rmse_train","rmse_test","mase_test","bias_test","n","prop"
"466",3.48707932548461,1.9436506316151,0.0259502923976608,0.944444444444444,360,0.8
"467",7.30177870263282,1.95078331845327,0.0218600622038533,-0.805555555555556,360,0.8
"468",3.72025238092495,1.85592145427667,0.0291872210476862,0.472222222222222,360,0.8
"469",5.49115450317852,1.60727512683216,0.0188691781276992,-0.194444444444444,360,0.8
"470",4.45112345369121,1.56347191994114,0.0211100989397505,0.111111111111111,360,0.8
"471",6.17032549114442,1.75198300346905,0.0215730707194621,-0.652777777777778,360,0.8
"472",4.01083601703629,1.83333333333333,0.0247540443227344,0.666666666666667,360,0.8
"473",3.22156363001295,2.00693242979872,0.0330671989354624,0.944444444444444,360,0.8
"474",3.65765939122579,1.85592145427667,0.0233957682969129,0.916666666666667,360,0.8
"475",3.28770859076314,2.03100960115899,0.0279954324071971,1.01388888888889,360,0.8
"476",2.95803989154981,2.04803428790742,0.0348039215686275,1.13888888888889,360,0.8
"477",4.0752470954396,1.75198300346905,0.0246887322422082,0.541666666666667,360,0.8
"478",4.21884001961571,1.73605555466664,0.0223425966661778,0.402777777777778,360,0.8
"479",3.91223153143517,1.9436506316151,0.0253312945973496,0.861111111111111,360,0.8
"480",3.39065300167649,2.06155281280883,0.0348852970078954,1.08333333333333,360,0.8
"481",5.58985937012531,1.62446572413483,0.0174409464292733,0.0555555555555556,360,0.8
"482",3.17487970025812,2.48886408717801,0.0415569212759731,1.88888888888889,360,0.8
"483",2.94981167007131,2.17944947177034,0.0290779311958811,1.27777777777778,360,0.8
"484",3.42123678091872,1.98256287556172,0.0278588476405427,0.875,360,0.8
"485",3.31086175421982,1.94007445447047,0.0311546092796093,0.763888888888889,360,0.8
"486",4.35571144845733,1.95433989992643,0.0317170240415854,0.736111111111111,360,0.8
"487",3.46410161513775,1.88561808316413,0.0316755893678971,0.638888888888889,360,0.8
"488",4.24959148363437,1.75594229214212,0.0295997776542524,0.694444444444444,360,0.8
"489",3.39832475068395,1.93649167310371,0.0354898600399886,0.833333333333333,360,0.8
"490",5.59730838091945,1.75989267349524,0.0219487333734376,0.125,360,0.8
"491",3.55756236768943,1.93290225079053,0.0284354791299236,0.791666666666667,360,0.8
"492",3.63145976158349,1.7950549357115,0.0217324762779308,0.75,360,0.8
"493",3.48956778603502,1.80277563773199,0.027414372671936,0.805555555555556,360,0.8
"494",3.19776397572498,2.31840462387393,0.034559968847352,1.48611111111111,360,0.8
"495",3.12971865970232,2.05142227084853,0.036883908638159,1.23611111111111,360,0.8
"496",2.93446947694317,1.95078331845327,0.0342399691358025,0.944444444444444,360,0.8
"497",4.49498176983079,1.91485421551268,0.0286237343696302,-0.111111111111111,360,0.8
"498",4.49420923708128,1.75989267349524,0.0199733153292181,0.208333333333333,360,0.8
"499",3.05505046330389,2.15702985092413,0.03407558838184,1.26388888888889,360,0.8
"500",3.41158158174312,2.03442593595562,0.0315051473198438,1.33333333333333,360,0.8
"501",5.29281483606681,1.8819316317727,0.0268814072693383,0.791666666666667,360,0.8
"502",4.33293267378522,1.73605555466664,0.0247047269700044,0.486111111111111,360,0.8
"503",4.12521043234295,1.86338998124982,0.0244368487265304,0.416666666666667,360,0.8
"504",4.65511964281144,1.91847740553689,0.027945484913203,0.875,360,0.8
"505",4.14787428824827,1.67082813798029,0.0276166902404526,0.319444444444444,360,0.8
"506",3.08839674336774,2.15380799722001,0.0311481574329406,1.47222222222222,360,0.8
"507",3.76294063495855,1.84842275106824,0.0240142178928984,0.694444444444444,360,0.8
"508",3.29140294302192,1.90029237516523,0.0283349899099425,0.805555555555556,360,0.8
"509",3.77445728254775,1.77951304200522,0.0264522970223254,0.333333333333333,360,0.8
"510",3.33177046695063,2.02758751009941,0.0278693672476056,1.11111111111111,360,0.8
"511",3.40444970263592,2.0138409955991,0.0310423224903813,1.11111111111111,360,0.8
"512",4.5856054973992,1.81429508808977,0.0243906354343248,0.819444444444444,360,0.8
"513",4.28133870548817,1.874536979867,0.0263180339054217,0.791666666666667,360,0.8
"514",6.03491001497859,1.77169096878911,0.0275059130576625,-0.166666666666667,360,0.8
"515",3.79738579668815,1.97202659436654,0.0268980839369189,0.916666666666667,360,0.8
"516",5.50126248136634,1.68737139427638,0.0192922799826098,0.0138888888888889,360,0.8
"517",2.95980010586301,2.2973414586817,0.0358681762800511,1.36111111111111,360,0.8
"518",3.90912394277797,1.96497102042527,0.0306614287306364,0.555555555555556,360,0.8
"519",3.00404819461266,1.86711304186734,0.0322490582391573,0.930555555555556,360,0.8
"520",3.073746356918,2.16986942771526,0.0384663844370527,1.23611111111111,360,0.8
"521",3.01212826198797,2.16666666666667,0.0359873034865557,1.44444444444444,360,0.8
"522",3.67801274845232,1.67912013996749,0.0256705232711018,0.736111111111111,360,0.8
"523",2.79259934668601,2.09496751499609,0.0371657570452751,1.16666666666667,360,0.8
"524",3.7071627365892,1.82574185835055,0.0242541562286495,0.777777777777778,360,0.8
"525",3.29561998888086,1.89296944860009,0.0284503978476158,0.916666666666667,360,0.8
"526",4.6180503341658,1.85592145427667,0.030083017350339,0.222222222222222,360,0.8
"527",2.7845057411006,1.97554493185495,0.0315663474692202,1.18055555555556,360,0.8
"528",3.50743258428916,2.17626080953343,0.030605110242207,1.20833333333333,360,0.8
"529",4.12226340201055,1.70782512765993,0.0241839061283506,0.444444444444444,360,0.8
"530",4.66555046174737,1.88561808316413,0.0276769631959567,0.305555555555556,360,0.8
"531",6.21825270205921,1.91485421551268,0.0237140948563794,-0.111111111111111,360,0.8
"532",4.79691741295039,1.71593835683117,0.0196443859759026,0.277777777777778,360,0.8
"533",5.38000413052299,1.71593835683117,0.0216447887526002,-0.444444444444444,360,0.8
"534",8.9217275357535,2.20479275922049,0.0243437987930962,-1.27777777777778,360,0.8
"535",3.39474675867811,1.92209376577847,0.0229518795603584,0.888888888888889,360,0.8
"536",2.92795434846014,2.16986942771526,0.0425341231500652,1.20833333333333,360,0.8
"537",3.83876426876034,1.76776695296637,0.0227400622605364,0.652777777777778,360,0.8
"538",3.5212647664661,1.68737139427638,0.021704737412702,0.402777777777778,360,0.8
"539",3.45858432824119,2.0138409955991,0.0299274995784859,0.861111111111111,360,0.8
"540",3.14907393794853,2.16666666666667,0.0450632710539887,1.33333333333333,360,0.8
