"","rmse_train","rmse_test","mase_test","bias_test","n","prop"
"1",4.15832498329155,4.45346307196246,0.0218124132460837,-3,60,0.8
"2",4.42295150323853,5.46961302714065,0.0352564102564103,4.75,60,0.8
"3",4.13067791046458,1.89296944860009,0.0117966187231895,-0.416666666666667,60,0.8
"4",3.34165627596057,4.33012701892219,0.046875,-3.75,60,0.8
"5",5.03736041990247,2.59807621135332,0.0196740858505564,1.41666666666667,60,0.8
"6",3.18852107828483,4.91596040125088,0.0356371490280778,-4.5,60,0.8
"7",3.02420788527068,5.13160143944688,0.04518779342723,-4.66666666666667,60,0.8
"8",3.72771154105751,1.6583123951777,0.00873015873015873,1.08333333333333,60,0.8
"9",3.87567198474449,1.35400640077266,0.00784913353720693,0.166666666666667,60,0.8
"10",3.08220700148449,5.94418483337567,0.0851548269581057,-5.66666666666667,60,0.8
"11",4.55292945988258,3.67423461417477,0.0347222222222222,3.33333333333333,60,0.8
"12",3.53847895759369,2.70801280154532,0.0144150583750298,-1.83333333333333,60,0.8
"13",3.49702254305955,2.12132034355964,0.00988319856244384,-0.5,60,0.8
"14",3.22425702035885,5.95818764390649,0.0317919075144509,-4.5,60,0.8
"15",5.40061724867322,4.50924975282289,0.0251454696591854,3.66666666666667,60,0.8
"16",3.61708906903512,4.11298755975102,0.0198433650123196,-3.25,60,0.8
"17",4.55750297129177,4.77842372894382,0.052037845705968,4.33333333333333,60,0.8
"18",4.21554662331391,2.32737334062816,0.0169454225352113,1.58333333333333,60,0.8
"19",3.02420788527068,3.42782730020052,0.0175351802990325,-2.25,60,0.8
"20",2.84312035153866,8.33666600026653,0.0578947368421053,-8,60,0.8
"21",5.1234753829798,5.61990510002912,0.0448717948717949,5.25,60,0.8
"22",5.78251675311019,3.17542648054294,0.0171394799054374,2.25,60,0.8
"23",3.91045606888336,3.54729944229879,0.0253623188405797,-0.25,60,0.8
"24",3.32603367391252,1.91485421551268,0.0122467156535293,-1.5,60,0.8
"25",3.91045606888336,2.85773803324704,0.0175558595531236,2.33333333333333,60,0.8
"26",3.5,1.89296944860009,0.00913978494623656,-1.25,60,0.8
"27",3.59687364248454,2.82842712474619,0.0255898969757394,2.16666666666667,60,0.8
"28",3.00347021515668,7.72442015083764,0.0376397930228676,-6.83333333333333,60,0.8
"29",4.31808213601054,2.91547594742265,0.0141570141570142,1.83333333333333,60,0.8
"30",3.24358340933809,5.01663898109747,0.0390995260663507,-4.5,60,0.8
"31",3.11247489949718,7.57187779440036,0.0870125091979397,-7.16666666666667,60,0.8
"32",7.23273807074472,12.9228479833201,0.0818164024270895,12.6666666666667,60,0.8
"33",4.57119605063416,2,0.0144698763483294,1,60,0.8
"34",3.97911212877111,2.16024689946929,0.0138469284994965,-0.333333333333333,60,0.8
"35",3.50891721190455,2.32737334062816,0.0177746999076639,-1.58333333333333,60,0.8
"36",5.90550590550886,5.7227615711298,0.0433392804044008,4.41666666666667,60,0.8
"37",3.22102468168128,6.90410505906933,0.0434210526315789,-6,60,0.8
"38",2.92617497767991,4.99165971062398,0.0458333333333333,-4.41666666666667,60,0.8
"39",3.39730285177325,3.58236421003411,0.0293855743544078,-3,60,0.8
"40",4.82830197895699,5.55277708298589,0.0320088300220751,4.83333333333333,60,0.8
"41",6.25832778517286,5.5075705472861,0.034965034965035,5,60,0.8
"42",3.278719262151,1.89296944860009,0.0150743931088489,-0.583333333333333,60,0.8
"43",3.44298804335227,5.90197706987526,0.0451492537313433,-5.5,60,0.8
"44",4.66815452472031,3.02765035409749,0.0314061384725196,2.5,60,0.8
"45",5.79151678463135,6.40962817434314,0.0608333333333333,6.08333333333333,60,0.8
"46",2.90473750965556,10.1653004546513,0.0673758865248227,-9.5,60,0.8
"47",4.20565096031518,1.6583123951777,0.00972135579122479,0.583333333333333,60,0.8
"48",3.67423461417477,2.82842712474619,0.0250926717992586,2.66666666666667,60,0.8
"49",4.04660351405966,1.70782512765993,0.0147012578616352,-0.416666666666667,60,0.8
"50",4.23772737836371,2.27303028283098,0.0175514940527995,0.5,60,0.8
"51",3.33853760400169,2.04124145231932,0.0179738562091503,-1.5,60,0.8
