"","rmse_train","rmse_test","mase_test","bias_test","n","prop"
"1",3.25960120260132,2.15541952606293,0.0379585243851605,1.47916666666667,240,0.8
"2",2.93860794708424,2.63391343821318,0.0377688656572939,1.9375,240,0.8
"3",3.09401303595616,2.18898758942728,0.0364755794701987,1.66666666666667,240,0.8
"4",3.36495418492833,2.14087209644419,0.0284875046624394,1.04166666666667,240,0.8
"5",4.33072838369406,1.92570333471522,0.0230005592841163,0.0416666666666667,240,0.8
"6",2.98956518577535,2.64968551593077,0.0314874076386721,1.6875,240,0.8
"7",3.01039864469807,2.56580071972344,0.0477875386367334,1.95833333333333,240,0.8
"8",3.01039864469807,2.38484800354236,0.0402861989317165,1.8125,240,0.8
"9",3.4686092313779,1.95789002074512,0.0291396413582602,1,240,0.8
"10",5.27029806241228,1.63299316185545,0.0181002782746969,-0.375,240,0.8
"11",2.89485894878029,2.29582955232599,0.0302799976835766,1.52083333333333,240,0.8
"12",2.91279504943276,2.43241991988774,0.0363892049045633,1.5,240,0.8
"13",2.97821954641807,2.10158670215308,0.0338241806908769,1.375,240,0.8
"14",3.72351760212482,1.9737865470545,0.0285124093869026,1.1875,240,0.8
"15",4.69540999274824,1.82002747232013,0.0252755186232909,0.4375,240,0.8
"16",2.96067982058175,2.72335577306137,0.0449198647257756,2.125,240,0.8
"17",4.3210965043609,1.83711730708738,0.0204800263802525,0.958333333333333,240,0.8
"18",3.69402670988358,1.94186336628851,0.0271990740740741,1.1875,240,0.8
"19",3.13498405099611,2.56985732418488,0.0277883735123589,1.4375,240,0.8
"20",3.03623945037278,2.29128784747792,0.040037037037037,1.625,240,0.8
"21",3.15238005322962,2.71569512280005,0.0431917722508994,1.79166666666667,240,0.8
"22",3.14990079208854,2.68483394893117,0.0386654478976234,2.04166666666667,240,0.8
"23",2.85682661940366,2.16024689946929,0.0325462775300635,1,240,0.8
"24",3.36340601176843,2.29128784747792,0.0323813102843543,1.41666666666667,240,0.8
"25",3.1116381002081,2.40658817969894,0.03499740999741,1.58333333333333,240,0.8
"26",3.85073045018734,2.01556443707464,0.0235620367550005,0.1875,240,0.8
"27",3.55536566333197,1.74403746137136,0.0270964360587002,0.625,240,0.8
